Date;Start;End;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Jan 1, 2015;12:00 AM;1:00 AM;6,068.5;6,003.5;450
Jan 1, 2015;1:00 AM;2:00 AM;5,963.5;5,893.5;847.5
Jan 1, 2015;2:00 AM;3:00 AM;5,726.25;5,662.25;1,149.75
Jan 1, 2015;3:00 AM;4:00 AM;5,347;5,282;1,338.25
Jan 1, 2015;4:00 AM;5:00 AM;5,249;5,185;1,323.5
Jan 1, 2015;5:00 AM;6:00 AM;5,308.5;5,245;1,213
Jan 1, 2015;6:00 AM;7:00 AM;5,574.75;5,491;1,361.25
Jan 1, 2015;7:00 AM;8:00 AM;5,925.5;5,794.5;1,341.5
Jan 1, 2015;8:00 AM;9:00 AM;6,343;6,231.75;1,137
Jan 1, 2015;9:00 AM;10:00 AM;6,881.75;6,726.25;930
Jan 1, 2015;10:00 AM;11:00 AM;6,963;6,796;736.25
Jan 1, 2015;11:00 AM;12:00 PM;7,110;6,920.75;571
Jan 1, 2015;12:00 PM;1:00 PM;7,136;6,913;498.25
Jan 1, 2015;1:00 PM;2:00 PM;7,013.25;6,734;734.5
Jan 1, 2015;2:00 PM;3:00 PM;6,734.75;6,408.75;758.25
Jan 1, 2015;3:00 PM;4:00 PM;6,543.25;6,202.75;780.75
Jan 1, 2015;4:00 PM;5:00 PM;6,603.25;6,254.5;0
Jan 1, 2015;5:00 PM;6:00 PM;6,734.5;6,424.75;0
Jan 1, 2015;6:00 PM;7:00 PM;6,625.75;6,420.75;0
Jan 1, 2015;7:00 PM;8:00 PM;6,738.5;6,516.75;15.25
Jan 1, 2015;8:00 PM;9:00 PM;6,654;6,403.5;841
Jan 1, 2015;9:00 PM;10:00 PM;6,255;6,117;1,319
Jan 1, 2015;10:00 PM;11:00 PM;6,221.5;6,129.75;1,204.25
Jan 1, 2015;11:00 PM;12:00 AM;5,864;5,761;1,781.25
Jan 2, 2015;12:00 AM;1:00 AM;5,533.25;5,427.25;1,586.75
Jan 2, 2015;1:00 AM;2:00 AM;5,205.25;5,126.5;1,691.5
Jan 2, 2015;2:00 AM;3:00 AM;4,971.25;4,844.75;1,721.25
Jan 2, 2015;3:00 AM;4:00 AM;4,668.75;4,474;1,795.75
Jan 2, 2015;4:00 AM;5:00 AM;4,755.5;4,530.75;1,878.75
Jan 2, 2015;5:00 AM;6:00 AM;5,080.5;4,843.5;1,813
Jan 2, 2015;6:00 AM;7:00 AM;5,421.75;5,210.75;1,605
Jan 2, 2015;7:00 AM;8:00 AM;5,855.5;5,613;1,216.75
Jan 2, 2015;8:00 AM;9:00 AM;6,366;6,061;733
Jan 2, 2015;9:00 AM;10:00 AM;6,431.25;6,046.75;662
Jan 2, 2015;10:00 AM;11:00 AM;6,699.25;6,253.75;691.5
Jan 2, 2015;11:00 AM;12:00 PM;6,542.75;6,086;533.25
Jan 2, 2015;12:00 PM;1:00 PM;6,310.75;5,828.75;551
Jan 2, 2015;1:00 PM;2:00 PM;6,257.5;5,723.5;632.25
Jan 2, 2015;2:00 PM;3:00 PM;6,306.75;5,746.25;598
Jan 2, 2015;3:00 PM;4:00 PM;6,501.75;5,903.75;499.25
Jan 2, 2015;4:00 PM;5:00 PM;6,888.75;6,331.75;156.75
Jan 2, 2015;5:00 PM;6:00 PM;5,972.25;4,924.25;0
Jan 2, 2015;6:00 PM;7:00 PM;5,892;4,393.5;0
Jan 2, 2015;7:00 PM;8:00 PM;5,807.5;4,193;523.25
Jan 2, 2015;8:00 PM;9:00 PM;5,313;3,611;948.25
Jan 2, 2015;9:00 PM;10:00 PM;5,379;3,742.25;746.75
Jan 2, 2015;10:00 PM;11:00 PM;5,325.5;3,813.5;1,132.5
Jan 2, 2015;11:00 PM;12:00 AM;5,145.25;3,738.25;1,652.75
Jan 3, 2015;12:00 AM;1:00 AM;5,827.25;4,454.5;1,472.25
Jan 3, 2015;1:00 AM;2:00 AM;5,778.75;4,428.5;1,505
Jan 3, 2015;2:00 AM;3:00 AM;5,467;4,163.25;1,569.5
Jan 3, 2015;3:00 AM;4:00 AM;5,201.5;3,960.75;1,546.5
Jan 3, 2015;4:00 AM;5:00 AM;5,244.5;4,098.75;1,198.75
Jan 3, 2015;5:00 AM;6:00 AM;5,404.5;3,981.5;1,441.25
Jan 3, 2015;6:00 AM;7:00 AM;5,402.25;4,036;1,600
Jan 3, 2015;7:00 AM;8:00 AM;5,552.75;4,228.75;1,357.25
Jan 3, 2015;8:00 AM;9:00 AM;5,476;4,174.25;1,060.25
Jan 3, 2015;9:00 AM;10:00 AM;5,612;4,533.25;1,117.5
Jan 3, 2015;10:00 AM;11:00 AM;5,660.25;4,716.25;897
Jan 3, 2015;11:00 AM;12:00 PM;5,663;4,887.25;15.5
Jan 3, 2015;12:00 PM;1:00 PM;5,304.5;4,736.75;0
Jan 3, 2015;1:00 PM;2:00 PM;4,932.25;4,579.5;0
Jan 3, 2015;2:00 PM;3:00 PM;4,705.5;4,382.75;0
Jan 3, 2015;3:00 PM;4:00 PM;4,832.75;4,453.5;0
Jan 3, 2015;4:00 PM;5:00 PM;5,123.5;4,771.75;0
Jan 3, 2015;5:00 PM;6:00 PM;6,064.25;5,763.5;0
Jan 3, 2015;6:00 PM;7:00 PM;5,937.5;5,823.5;0
Jan 3, 2015;7:00 PM;8:00 PM;5,766.75;5,683.75;0
Jan 3, 2015;8:00 PM;9:00 PM;5,697.5;5,628.75;0
Jan 3, 2015;9:00 PM;10:00 PM;5,328.75;5,262.25;0
Jan 3, 2015;10:00 PM;11:00 PM;5,570.5;5,516.5;0
Jan 3, 2015;11:00 PM;12:00 AM;5,451.5;5,390.25;549.75
Jan 4, 2015;12:00 AM;1:00 AM;5,513.25;5,455.75;910.75
Jan 4, 2015;1:00 AM;2:00 AM;5,234.5;5,091.25;1,442.25
Jan 4, 2015;2:00 AM;3:00 AM;5,105.75;4,537;1,592
Jan 4, 2015;3:00 AM;4:00 AM;4,803.75;3,723;1,555.5
Jan 4, 2015;4:00 AM;5:00 AM;4,797.25;3,373;1,785.5
Jan 4, 2015;5:00 AM;6:00 AM;4,868;3,229;1,782.75
Jan 4, 2015;6:00 AM;7:00 AM;5,034.75;3,362.75;1,683.5
Jan 4, 2015;7:00 AM;8:00 AM;5,384.75;3,718.25;1,652.25
Jan 4, 2015;8:00 AM;9:00 AM;5,513;3,777.75;1,547.5
Jan 4, 2015;9:00 AM;10:00 AM;5,566.5;3,703.25;1,589
Jan 4, 2015;10:00 AM;11:00 AM;5,618.5;3,669.25;1,303
Jan 4, 2015;11:00 AM;12:00 PM;5,621.5;3,636.5;1,059.5
Jan 4, 2015;12:00 PM;1:00 PM;5,540.75;3,581.25;772.5
Jan 4, 2015;1:00 PM;2:00 PM;5,454.25;3,502.75;933.75
Jan 4, 2015;2:00 PM;3:00 PM;5,162;3,245.5;926.25
Jan 4, 2015;3:00 PM;4:00 PM;5,043.5;3,188.5;938.75
Jan 4, 2015;4:00 PM;5:00 PM;5,291.5;3,463;359.25
Jan 4, 2015;5:00 PM;6:00 PM;4,946.25;3,133.75;0
Jan 4, 2015;6:00 PM;7:00 PM;4,833.25;3,031.25;0
Jan 4, 2015;7:00 PM;8:00 PM;5,034.75;3,258;0
Jan 4, 2015;8:00 PM;9:00 PM;5,067;3,393.5;0
Jan 4, 2015;9:00 PM;10:00 PM;4,752.5;3,191.75;0
Jan 4, 2015;10:00 PM;11:00 PM;5,092;3,686;0
Jan 4, 2015;11:00 PM;12:00 AM;5,177.25;3,756;0
Jan 5, 2015;12:00 AM;1:00 AM;6,180.25;4,707.75;695.75
Jan 5, 2015;1:00 AM;2:00 AM;6,004.75;4,438.25;1,101.75
Jan 5, 2015;2:00 AM;3:00 AM;5,987;4,412.25;1,013
