Date;Start;End;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Jan 1, 2015;12:00 AM;1:00 AM;9,211.5;5,523;55
Jan 1, 2015;1:00 AM;2:00 AM;8,981.25;4,917.75;60
Jan 1, 2015;2:00 AM;3:00 AM;8,782.75;4,503.25;61.75
Jan 1, 2015;3:00 AM;4:00 AM;8,605.5;4,563.5;122.75
Jan 1, 2015;4:00 AM;5:00 AM;8,536;4,681.25;122.75
Jan 1, 2015;5:00 AM;6:00 AM;8,323.25;4,570;122
Jan 1, 2015;6:00 AM;7:00 AM;7,909.75;4,135.5;120
Jan 1, 2015;7:00 AM;8:00 AM;8,110;4,056.25;120
Jan 1, 2015;8:00 AM;9:00 AM;8,345;4,390.5;120
Jan 1, 2015;9:00 AM;10:00 AM;9,063.75;4,832;118.25
Jan 1, 2015;10:00 AM;11:00 AM;9,923.75;5,103.75;7.5
Jan 1, 2015;11:00 AM;12:00 PM;11,049.75;5,551.75;7.5
Jan 1, 2015;12:00 PM;1:00 PM;10,978.75;4,925.25;7.5
Jan 1, 2015;1:00 PM;2:00 PM;10,559.25;4,607.5;17.5
Jan 1, 2015;2:00 PM;3:00 PM;10,031.5;4,768;2.5
Jan 1, 2015;3:00 PM;4:00 PM;9,704.75;4,907.25;2.5
Jan 1, 2015;4:00 PM;5:00 PM;10,348.25;4,877.25;2.5
Jan 1, 2015;5:00 PM;6:00 PM;11,151;4,726.75;2.5
Jan 1, 2015;6:00 PM;7:00 PM;11,313.25;4,315.25;2.75
Jan 1, 2015;7:00 PM;8:00 PM;11,133;3,767;58
Jan 1, 2015;8:00 PM;9:00 PM;10,656.75;2,963;58
Jan 1, 2015;9:00 PM;10:00 PM;10,182.5;2,195.25;1.5
Jan 1, 2015;10:00 PM;11:00 PM;10,099.5;1,748.5;1.5
Jan 1, 2015;11:00 PM;12:00 AM;9,495.75;755;1.5
Jan 2, 2015;12:00 AM;1:00 AM;8,983.75;-16.25;1.5
Jan 2, 2015;1:00 AM;2:00 AM;8,720.25;-623.25;1.5
Jan 2, 2015;2:00 AM;3:00 AM;8,717.25;-833.75;1.5
Jan 2, 2015;3:00 AM;4:00 AM;8,807.25;-1,108.5;1.5
Jan 2, 2015;4:00 AM;5:00 AM;9,097.25;-1,278.75;1
Jan 2, 2015;5:00 AM;6:00 AM;9,307.5;-1,144.25;1.5
Jan 2, 2015;6:00 AM;7:00 AM;9,620;-745.5;1.5
Jan 2, 2015;7:00 AM;8:00 AM;10,610.75;-23.5;1.5
Jan 2, 2015;8:00 AM;9:00 AM;11,345.75;469.5;1.5
Jan 2, 2015;9:00 AM;10:00 AM;12,011.75;1,201.5;1.5
Jan 2, 2015;10:00 AM;11:00 AM;12,448;1,630.25;1.5
Jan 2, 2015;11:00 AM;12:00 PM;12,875.25;1,972.75;1.5
Jan 2, 2015;12:00 PM;1:00 PM;12,868;2,033;28.5
Jan 2, 2015;1:00 PM;2:00 PM;12,581.25;1,819.75;18.25
Jan 2, 2015;2:00 PM;3:00 PM;12,283.25;1,720;19.75
