Date;Start;End;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Jan 1, 2015;12:00 AM;1:00 AM;15,245.75;14,354.25;3
Jan 1, 2015;1:00 AM;2:00 AM;15,201.5;14,339.25;4
Jan 1, 2015;2:00 AM;3:00 AM;14,826;14,032.25;3.5
Jan 1, 2015;3:00 AM;4:00 AM;14,405;13,579.25;3
Jan 1, 2015;4:00 AM;5:00 AM;14,083.25;13,231.75;3
Jan 1, 2015;5:00 AM;6:00 AM;13,810.25;13,009.75;249
Jan 1, 2015;6:00 AM;7:00 AM;13,396.25;12,447;236.5
Jan 1, 2015;7:00 AM;8:00 AM;13,311.5;12,013.5;261
Jan 1, 2015;8:00 AM;9:00 AM;13,583.25;12,179.5;173.75
Jan 1, 2015;9:00 AM;10:00 AM;14,548.25;13,089.25;100
Jan 1, 2015;10:00 AM;11:00 AM;15,487.25;13,530;183.5
Jan 1, 2015;11:00 AM;12:00 PM;16,297;13,921;44
Jan 1, 2015;12:00 PM;1:00 PM;17,105.75;14,290.75;112.5
Jan 1, 2015;1:00 PM;2:00 PM;16,914;14,360.75;129.5
Jan 1, 2015;2:00 PM;3:00 PM;17,033.75;14,868;157.25
Jan 1, 2015;3:00 PM;4:00 PM;17,099.25;15,457.25;73
Jan 1, 2015;4:00 PM;5:00 PM;17,562;15,848.5;116.75
Jan 1, 2015;5:00 PM;6:00 PM;19,076.25;17,054;0
Jan 1, 2015;6:00 PM;7:00 PM;19,220.25;16,912.75;33
Jan 1, 2015;7:00 PM;8:00 PM;19,262;16,760;15.25
Jan 1, 2015;8:00 PM;9:00 PM;18,544.25;15,770.75;0
Jan 1, 2015;9:00 PM;10:00 PM;18,277.75;15,200.75;182.75
Jan 1, 2015;10:00 PM;11:00 PM;18,318.25;15,188.25;60.75
Jan 1, 2015;11:00 PM;12:00 AM;17,368;14,020;157.75
Jan 2, 2015;12:00 AM;1:00 AM;16,074.5;12,577;321.75
Jan 2, 2015;1:00 AM;2:00 AM;15,591.25;11,841;527.25
Jan 2, 2015;2:00 AM;3:00 AM;15,362;11,355.25;149.75
Jan 2, 2015;3:00 AM;4:00 AM;15,441.75;11,244.75;0
Jan 2, 2015;4:00 AM;5:00 AM;15,572.75;11,152.5;0
Jan 2, 2015;5:00 AM;6:00 AM;15,933.75;11,288.25;417.25
Jan 2, 2015;6:00 AM;7:00 AM;16,951.25;12,197.25;95.5
Jan 2, 2015;7:00 AM;8:00 AM;18,559;13,922.5;282.75
Jan 2, 2015;8:00 AM;9:00 AM;20,331.5;15,877.25;74
Jan 2, 2015;9:00 AM;10:00 AM;21,486;17,311.5;0
Jan 2, 2015;10:00 AM;11:00 AM;22,204;18,147.75;0
Jan 2, 2015;11:00 AM;12:00 PM;22,718.5;18,367.25;0
Jan 2, 2015;12:00 PM;1:00 PM;22,724.5;18,071.75;51.75
Jan 2, 2015;1:00 PM;2:00 PM;22,380.75;17,562.25;3
Jan 2, 2015;2:00 PM;3:00 PM;21,926.5;17,560.25;69.75
Jan 2, 2015;3:00 PM;4:00 PM;21,513.5;17,583;67.5
Jan 2, 2015;4:00 PM;5:00 PM;21,432;17,672;45.25
Jan 2, 2015;5:00 PM;6:00 PM;22,344;18,532.25;23.5
Jan 2, 2015;6:00 PM;7:00 PM;22,677.75;18,921.5;58
Jan 2, 2015;7:00 PM;8:00 PM;22,136.75;18,785.5;0
Jan 2, 2015;8:00 PM;9:00 PM;20,754;17,557.25;0
Jan 2, 2015;9:00 PM;10:00 PM;20,022.75;16,773;229.5
Jan 2, 2015;10:00 PM;11:00 PM;18,876.5;15,777.5;394.5
Jan 2, 2015;11:00 PM;12:00 AM;15,258.25;12,245.5;300.25
Jan 3, 2015;12:00 AM;1:00 AM;13,777.75;10,883.25;262.5
Jan 3, 2015;1:00 AM;2:00 AM;13,048.25;10,502.75;150.25
Jan 3, 2015;2:00 AM;3:00 AM;12,688;10,368;119.5
Jan 3, 2015;3:00 AM;4:00 AM;12,718.25;10,614.25;29
Jan 3, 2015;4:00 AM;5:00 AM;12,780.75;10,732;36.75
Jan 3, 2015;5:00 AM;6:00 AM;13,052.75;11,085.75;254.5
Jan 3, 2015;6:00 AM;7:00 AM;14,163.75;12,153;181.5
Jan 3, 2015;7:00 AM;8:00 AM;14,708;12,427;272.25
Jan 3, 2015;8:00 AM;9:00 AM;15,820.25;13,042.75;328
Jan 3, 2015;9:00 AM;10:00 AM;17,129;14,233.75;0
Jan 3, 2015;10:00 AM;11:00 AM;18,139.75;15,208.75;0
Jan 3, 2015;11:00 AM;12:00 PM;18,934.75;16,288.25;1.5
Jan 3, 2015;12:00 PM;1:00 PM;18,963.5;16,948.75;3
Jan 3, 2015;1:00 PM;2:00 PM;19,758.75;18,328;3
Jan 3, 2015;2:00 PM;3:00 PM;19,427.25;18,357.75;1.5
Jan 3, 2015;3:00 PM;4:00 PM;19,265.5;18,391;0
Jan 3, 2015;4:00 PM;5:00 PM;20,028;19,258.25;0
Jan 3, 2015;5:00 PM;6:00 PM;21,047.75;20,207.75;0
Jan 3, 2015;6:00 PM;7:00 PM;21,352.25;20,427.5;0
Jan 3, 2015;7:00 PM;8:00 PM;21,395.25;20,291;0
Jan 3, 2015;8:00 PM;9:00 PM;19,955.5;18,315;40
Jan 3, 2015;9:00 PM;10:00 PM;19,201.25;17,204.75;184.75
Jan 3, 2015;10:00 PM;11:00 PM;19,206;17,262.25;57.25
Jan 3, 2015;11:00 PM;12:00 AM;18,117.25;16,008;258.75
Jan 4, 2015;12:00 AM;1:00 AM;16,954.75;14,832.25;18
Jan 4, 2015;1:00 AM;2:00 AM;14,360.75;12,164.75;53
Jan 4, 2015;2:00 AM;3:00 AM;13,806.5;11,476;132.5
Jan 4, 2015;3:00 AM;4:00 AM;13,637;11,448.25;72.5
