Date;Start;End;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Jan 1, 2015;12:00 AM;1:00 AM;14,110.25;10,050.25;66.5
Jan 1, 2015;1:00 AM;2:00 AM;13,267.5;9,384;9.25
Jan 1, 2015;2:00 AM;3:00 AM;12,642;8,668.5;85.5
Jan 1, 2015;3:00 AM;4:00 AM;12,132.5;7,938.5;653.5
Jan 1, 2015;4:00 AM;5:00 AM;11,840.25;7,394.25;1,226.75
Jan 1, 2015;5:00 AM;6:00 AM;11,439.75;6,767.75;1,335.25
Jan 1, 2015;6:00 AM;7:00 AM;10,954.75;5,991.5;1,350.25
Jan 1, 2015;7:00 AM;8:00 AM;11,203.75;6,230;1,316.25
Jan 1, 2015;8:00 AM;9:00 AM;11,328;6,431.5;1,129
Jan 1, 2015;9:00 AM;10:00 AM;11,809;6,758.75;450.75
Jan 1, 2015;10:00 AM;11:00 AM;12,731.75;6,955.25;198.5
Jan 1, 2015;11:00 AM;12:00 PM;13,966;7,223.75;157
Jan 1, 2015;12:00 PM;1:00 PM;14,412;7,148;253.5
Jan 1, 2015;1:00 PM;2:00 PM;14,245.5;6,867.25;99
Jan 1, 2015;2:00 PM;3:00 PM;13,706.75;7,005.25;0
Jan 1, 2015;3:00 PM;4:00 PM;13,634.75;7,513.25;0
Jan 1, 2015;4:00 PM;5:00 PM;14,535.25;8,096.25;85.25
Jan 1, 2015;5:00 PM;6:00 PM;15,572;8,585.5;49.75
Jan 1, 2015;6:00 PM;7:00 PM;15,248;7,688;96
Jan 1, 2015;7:00 PM;8:00 PM;14,272.75;6,139.25;87.25
Jan 1, 2015;8:00 PM;9:00 PM;13,172.5;4,466.25;102
Jan 1, 2015;9:00 PM;10:00 PM;12,249.5;2,970.5;138
Jan 1, 2015;10:00 PM;11:00 PM;16,630.75;6,894.25;3
Jan 1, 2015;11:00 PM;12:00 AM;15,790;5,829.5;45
Jan 2, 2015;12:00 AM;1:00 AM;14,951;5,018.5;711.25
Jan 2, 2015;1:00 AM;2:00 AM;14,400.5;4,130.75;1,336.75
Jan 2, 2015;2:00 AM;3:00 AM;13,928;3,330;1,266.25
Jan 2, 2015;3:00 AM;4:00 AM;13,720;2,907.25;1,287
Jan 2, 2015;4:00 AM;5:00 AM;13,858.75;3,066.75;1,338.75
Jan 2, 2015;5:00 AM;6:00 AM;14,630.5;3,722;1,322.5
Jan 2, 2015;6:00 AM;7:00 AM;15,559.75;4,507.5;811.25
Jan 2, 2015;7:00 AM;8:00 AM;16,790.25;6,042.25;275.5
Jan 2, 2015;8:00 AM;9:00 AM;18,285.25;7,208.75;196.75
Jan 2, 2015;9:00 AM;10:00 AM;18,925.5;8,015.75;92.75
Jan 2, 2015;10:00 AM;11:00 AM;19,384.75;8,301;0
Jan 2, 2015;11:00 AM;12:00 PM;19,935.75;8,496;0
Jan 2, 2015;12:00 PM;1:00 PM;19,879.75;8,316.25;0
Jan 2, 2015;1:00 PM;2:00 PM;19,633.25;7,867.5;75.75
Jan 2, 2015;2:00 PM;3:00 PM;19,156.25;7,717.75;209.5
Jan 2, 2015;3:00 PM;4:00 PM;18,984.25;7,967;210.25
Jan 2, 2015;4:00 PM;5:00 PM;19,526.75;8,918;124.75
Jan 2, 2015;5:00 PM;6:00 PM;20,886.5;9,916.75;0
Jan 2, 2015;6:00 PM;7:00 PM;20,617.75;9,781;0
Jan 2, 2015;7:00 PM;8:00 PM;19,570;9,022;3.75
Jan 2, 2015;8:00 PM;9:00 PM;18,157.5;7,960.75;35.75
Jan 2, 2015;9:00 PM;10:00 PM;17,424.5;7,114.5;109.5
Jan 2, 2015;10:00 PM;11:00 PM;17,970.5;7,228.25;86.75
