Date;Start;End;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Jan 1, 2015;12:00 AM;1:00 AM;5,470;5,465.75;476.5
Jan 1, 2015;1:00 AM;2:00 AM;5,327;5,322;273
Jan 1, 2015;2:00 AM;3:00 AM;5,087.25;5,080.25;370.75
Jan 1, 2015;3:00 AM;4:00 AM;4,905.5;4,897.75;449.25
Jan 1, 2015;4:00 AM;5:00 AM;4,865;4,854.25;469.5
Jan 1, 2015;5:00 AM;6:00 AM;4,685.25;4,679;752.25
Jan 1, 2015;6:00 AM;7:00 AM;4,466;4,464;1,160.75
Jan 1, 2015;7:00 AM;8:00 AM;4,410.5;4,404.5;1,204
Jan 1, 2015;8:00 AM;9:00 AM;4,294.5;4,287.5;1,217.5
Jan 1, 2015;9:00 AM;10:00 AM;4,640.5;4,580;1,104.25
Jan 1, 2015;10:00 AM;11:00 AM;4,893;4,780.25;911
Jan 1, 2015;11:00 AM;12:00 PM;5,088.25;4,950.75;500.75
Jan 1, 2015;12:00 PM;1:00 PM;5,402.5;5,234;516.25
Jan 1, 2015;1:00 PM;2:00 PM;5,317.75;5,196;568
Jan 1, 2015;2:00 PM;3:00 PM;5,169.75;5,100.5;384.5
Jan 1, 2015;3:00 PM;4:00 PM;5,239.5;5,204;140.75
Jan 1, 2015;4:00 PM;5:00 PM;5,460.75;5,452;354
Jan 1, 2015;5:00 PM;6:00 PM;6,048.75;6,045.5;266.75
Jan 1, 2015;6:00 PM;7:00 PM;6,159;6,156.5;413.75
Jan 1, 2015;7:00 PM;8:00 PM;6,092.5;6,085.75;253.25
Jan 1, 2015;8:00 PM;9:00 PM;5,841.5;5,833.75;300
Jan 1, 2015;9:00 PM;10:00 PM;5,833.5;5,824.25;343.5
Jan 1, 2015;10:00 PM;11:00 PM;5,857.5;5,839;359.25
Jan 1, 2015;11:00 PM;12:00 AM;5,625;5,591.5;674
Jan 2, 2015;12:00 AM;1:00 AM;5,280.5;5,238.75;975.5
Jan 2, 2015;1:00 AM;2:00 AM;4,989.75;4,918.75;1,286.75
Jan 2, 2015;2:00 AM;3:00 AM;4,860.25;4,768;545.5
Jan 2, 2015;3:00 AM;4:00 AM;4,760.75;4,652.25;560.5
Jan 2, 2015;4:00 AM;5:00 AM;4,912.75;4,779.75;980
Jan 2, 2015;5:00 AM;6:00 AM;5,055.25;4,889.25;1,430.75
Jan 2, 2015;6:00 AM;7:00 AM;5,187.5;5,004;1,225.25
Jan 2, 2015;7:00 AM;8:00 AM;5,476.5;5,302.5;332
Jan 2, 2015;8:00 AM;9:00 AM;5,795.5;5,575.25;300.25
Jan 2, 2015;9:00 AM;10:00 AM;6,298;6,005.75;142
Jan 2, 2015;10:00 AM;11:00 AM;6,598.5;6,248;157.25
Jan 2, 2015;11:00 AM;12:00 PM;6,780;6,401.25;129.25
Jan 2, 2015;12:00 PM;1:00 PM;6,934.25;6,617.5;83
Jan 2, 2015;1:00 PM;2:00 PM;6,889;6,541.25;117.75
Jan 2, 2015;2:00 PM;3:00 PM;6,728.5;6,447;200
Jan 2, 2015;3:00 PM;4:00 PM;6,712.75;6,425.25;358
Jan 2, 2015;4:00 PM;5:00 PM;6,885.25;6,608.25;817
Jan 2, 2015;5:00 PM;6:00 PM;7,198;6,961.75;382
Jan 2, 2015;6:00 PM;7:00 PM;7,132;6,902.75;385.5
Jan 2, 2015;7:00 PM;8:00 PM;6,989.75;6,731;443.5
Jan 2, 2015;8:00 PM;9:00 PM;6,652.75;6,406;351.75
Jan 2, 2015;9:00 PM;10:00 PM;6,508.75;6,277.25;650.5
Jan 2, 2015;10:00 PM;11:00 PM;6,403.25;6,173.75;828
Jan 2, 2015;11:00 PM;12:00 AM;6,039.25;5,814.75;979.25
Jan 3, 2015;12:00 AM;1:00 AM;5,622.75;5,418;1,152.75
Jan 3, 2015;1:00 AM;2:00 AM;5,367;5,170.5;1,301.75
Jan 3, 2015;2:00 AM;3:00 AM;5,172.25;4,980;878
Jan 3, 2015;3:00 AM;4:00 AM;5,045.25;4,870.5;518.75
Jan 3, 2015;4:00 AM;5:00 AM;5,096.5;4,962.25;563.75
Jan 3, 2015;5:00 AM;6:00 AM;4,939;4,856.5;1,125.75
Jan 3, 2015;6:00 AM;7:00 AM;4,862.5;4,814.75;1,104.75
Jan 3, 2015;7:00 AM;8:00 AM;5,081.25;5,040.5;1,252
Jan 3, 2015;8:00 AM;9:00 AM;5,303;5,214.75;1,106.75
Jan 3, 2015;9:00 AM;10:00 AM;5,787.5;5,650.5;325.5
Jan 3, 2015;10:00 AM;11:00 AM;6,027.25;5,781;180
Jan 3, 2015;11:00 AM;12:00 PM;6,207.25;5,939;350.75
Jan 3, 2015;12:00 PM;1:00 PM;6,459.75;6,234.5;144.75
Jan 3, 2015;1:00 PM;2:00 PM;6,390.75;6,231.25;66.75
Jan 3, 2015;2:00 PM;3:00 PM;6,340;6,166;24
Jan 3, 2015;3:00 PM;4:00 PM;6,330.75;6,141.25;52
Jan 3, 2015;4:00 PM;5:00 PM;6,531.25;6,316;202.25
Jan 3, 2015;5:00 PM;6:00 PM;6,933.5;6,647.5;171.25
Jan 3, 2015;6:00 PM;7:00 PM;6,981;6,610.5;135.75
Jan 3, 2015;7:00 PM;8:00 PM;6,685.25;6,342.5;307.75
Jan 3, 2015;8:00 PM;9:00 PM;6,310;5,868.5;375.75
Jan 3, 2015;9:00 PM;10:00 PM;6,102.75;5,736.75;214.25
Jan 3, 2015;10:00 PM;11:00 PM;6,057;5,767;369.5
Jan 3, 2015;11:00 PM;12:00 AM;5,780;5,505.25;677.75
Jan 4, 2015;12:00 AM;1:00 AM;5,410;5,209;416.75
Jan 4, 2015;1:00 AM;2:00 AM;5,134;4,965;596.75
Jan 4, 2015;2:00 AM;3:00 AM;4,924.75;4,775.75;936
Jan 4, 2015;3:00 AM;4:00 AM;4,792.75;4,670;942.5
Jan 4, 2015;4:00 AM;5:00 AM;4,881;4,732.5;1,015.5
Jan 4, 2015;5:00 AM;6:00 AM;4,808.5;4,646.25;938.75
Jan 4, 2015;6:00 AM;7:00 AM;4,629.75;4,489.75;910.75
Jan 4, 2015;7:00 AM;8:00 AM;4,769;4,647.25;795
Jan 4, 2015;8:00 AM;9:00 AM;4,821.5;4,722.25;587
Jan 4, 2015;9:00 AM;10:00 AM;5,140;4,890.75;323.25
Jan 4, 2015;10:00 AM;11:00 AM;5,307;4,785.75;202.5
Jan 4, 2015;11:00 AM;12:00 PM;5,757.25;4,893.75;5.5
Jan 4, 2015;12:00 PM;1:00 PM;5,951.5;5,085;211.25
Jan 4, 2015;1:00 PM;2:00 PM;5,717.5;5,018.25;362
Jan 4, 2015;2:00 PM;3:00 PM;5,405.5;4,943.5;144.5
Jan 4, 2015;3:00 PM;4:00 PM;5,413.75;5,102.25;0.75
Jan 4, 2015;4:00 PM;5:00 PM;5,603;5,443;35.25
Jan 4, 2015;5:00 PM;6:00 PM;6,288.5;6,116.75;0
Jan 4, 2015;6:00 PM;7:00 PM;6,475.75;6,290.25;1.25
Jan 4, 2015;7:00 PM;8:00 PM;6,397.5;6,206.5;318.75
Jan 4, 2015;8:00 PM;9:00 PM;6,223.5;6,035.5;514.75
Jan 4, 2015;9:00 PM;10:00 PM;6,218.25;6,038;773.5
Jan 4, 2015;10:00 PM;11:00 PM;6,298.25;6,123.75;408.5
Jan 4, 2015;11:00 PM;12:00 AM;6,066.25;5,897.5;1,052.25
Jan 5, 2015;12:00 AM;1:00 AM;5,627.25;5,533;1,394.75
Jan 5, 2015;1:00 AM;2:00 AM;5,291;5,195.75;1,397.5
Jan 5, 2015;2:00 AM;3:00 AM;5,128.25;5,066;1,767.75
Jan 5, 2015;3:00 AM;4:00 AM;5,145.5;5,068.5;1,643.75
Jan 5, 2015;4:00 AM;5:00 AM;5,311.75;5,267.5;1,721.75
Jan 5, 2015;5:00 AM;6:00 AM;5,416.5;5,364.75;1,241.25
Jan 5, 2015;6:00 AM;7:00 AM;5,691.75;5,651.5;1,151.25
Jan 5, 2015;7:00 AM;8:00 AM;6,075.25;6,047.25;609.25
Jan 5, 2015;8:00 AM;9:00 AM;6,388.25;6,333;251.5
Jan 5, 2015;9:00 AM;10:00 AM;6,574;6,214.75;440.5
Jan 5, 2015;10:00 AM;11:00 AM;6,688.25;5,715.25;547.75
Jan 5, 2015;11:00 AM;12:00 PM;6,794.5;5,325.25;417.75
Jan 5, 2015;12:00 PM;1:00 PM;6,974.75;5,251.75;286
Jan 5, 2015;1:00 PM;2:00 PM;6,843.75;5,197;344.5
Jan 5, 2015;2:00 PM;3:00 PM;6,623;5,382.75;165
Jan 5, 2015;3:00 PM;4:00 PM;6,592.75;5,972;0.25
Jan 5, 2015;4:00 PM;5:00 PM;6,721.75;6,633.5;52
Jan 5, 2015;5:00 PM;6:00 PM;7,360;7,354.75;7.75
Jan 5, 2015;6:00 PM;7:00 PM;7,465;7,456;0
Jan 5, 2015;7:00 PM;8:00 PM;7,333.75;7,325.5;107.5
Jan 5, 2015;8:00 PM;9:00 PM;6,913.75;6,909;156.5
