Date;Start;End;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2015;12:00 AM;1:00 AM;423.25;423.25
Jan 1, 2015;1:00 AM;2:00 AM;403.75;403.75
Jan 1, 2015;2:00 AM;3:00 AM;383.25;383.25
Jan 1, 2015;3:00 AM;4:00 AM;370;370
Jan 1, 2015;4:00 AM;5:00 AM;363.75;363.75
Jan 1, 2015;5:00 AM;6:00 AM;353.75;353.75
Jan 1, 2015;6:00 AM;7:00 AM;299.5;299.5
Jan 1, 2015;7:00 AM;8:00 AM;307.5;307.5
Jan 1, 2015;8:00 AM;9:00 AM;302;302
Jan 1, 2015;9:00 AM;10:00 AM;299.75;298
Jan 1, 2015;10:00 AM;11:00 AM;314.25;309.75
Jan 1, 2015;11:00 AM;12:00 PM;345.25;341.25
Jan 1, 2015;12:00 PM;1:00 PM;357.25;352.5
Jan 1, 2015;1:00 PM;2:00 PM;350;344.5
Jan 1, 2015;2:00 PM;3:00 PM;345;338.75
Jan 1, 2015;3:00 PM;4:00 PM;345;341.5
Jan 1, 2015;4:00 PM;5:00 PM;353;350
Jan 1, 2015;5:00 PM;6:00 PM;396.25;392.5
Jan 1, 2015;6:00 PM;7:00 PM;411;406.75
Jan 1, 2015;7:00 PM;8:00 PM;395.75;389.75
Jan 1, 2015;8:00 PM;9:00 PM;377.25;369.25
Jan 1, 2015;9:00 PM;10:00 PM;359;351.75
Jan 1, 2015;10:00 PM;11:00 PM;429;417.25
Jan 1, 2015;11:00 PM;12:00 AM;417.25;408
Jan 2, 2015;12:00 AM;1:00 AM;391;380.25
Jan 2, 2015;1:00 AM;2:00 AM;362.5;346.25
Jan 2, 2015;2:00 AM;3:00 AM;345.25;326.5
Jan 2, 2015;3:00 AM;4:00 AM;336.75;314
Jan 2, 2015;4:00 AM;5:00 AM;337.5;314.25
Jan 2, 2015;5:00 AM;6:00 AM;355.5;336
Jan 2, 2015;6:00 AM;7:00 AM;340.75;323.75
Jan 2, 2015;7:00 AM;8:00 AM;395.25;383.25
Jan 2, 2015;8:00 AM;9:00 AM;429;418.75
Jan 2, 2015;9:00 AM;10:00 AM;452.5;444
Jan 2, 2015;10:00 AM;11:00 AM;468.75;459.75
Jan 2, 2015;11:00 AM;12:00 PM;501;489.5
Jan 2, 2015;12:00 PM;1:00 PM;490.5;476.75
Jan 2, 2015;1:00 PM;2:00 PM;477.25;463.25
Jan 2, 2015;2:00 PM;3:00 PM;469.75;458.5
Jan 2, 2015;3:00 PM;4:00 PM;454;443.75
Jan 2, 2015;4:00 PM;5:00 PM;452.25;440.5
Jan 2, 2015;5:00 PM;6:00 PM;491.25;481
Jan 2, 2015;6:00 PM;7:00 PM;506;493.75
Jan 2, 2015;7:00 PM;8:00 PM;483;470.5
Jan 2, 2015;8:00 PM;9:00 PM;451.75;441.25
Jan 2, 2015;9:00 PM;10:00 PM;418.25;406.75
Jan 2, 2015;10:00 PM;11:00 PM;482;473.75
Jan 2, 2015;11:00 PM;12:00 AM;463.25;457
Jan 3, 2015;12:00 AM;1:00 AM;439;434
Jan 3, 2015;1:00 AM;2:00 AM;409;405.25
Jan 3, 2015;2:00 AM;3:00 AM;391;387.75
Jan 3, 2015;3:00 AM;4:00 AM;382;379.25
Jan 3, 2015;4:00 AM;5:00 AM;378;374.5
Jan 3, 2015;5:00 AM;6:00 AM;380.5;374
Jan 3, 2015;6:00 AM;7:00 AM;340.5;331.5
Jan 3, 2015;7:00 AM;8:00 AM;356.5;346
Jan 3, 2015;8:00 AM;9:00 AM;372.5;364
Jan 3, 2015;9:00 AM;10:00 AM;390.75;382
Jan 3, 2015;10:00 AM;11:00 AM;417.5;411
Jan 3, 2015;11:00 AM;12:00 PM;463;459.5
Jan 3, 2015;12:00 PM;1:00 PM;471.5;470
Jan 3, 2015;1:00 PM;2:00 PM;457.25;455.75
Jan 3, 2015;2:00 PM;3:00 PM;444.25;441.75
Jan 3, 2015;3:00 PM;4:00 PM;435.75;432.25
Jan 3, 2015;4:00 PM;5:00 PM;423.25;413.5
Jan 3, 2015;5:00 PM;6:00 PM;448.5;429.5
Jan 3, 2015;6:00 PM;7:00 PM;460.25;437.75
Jan 3, 2015;7:00 PM;8:00 PM;442;424.75
Jan 3, 2015;8:00 PM;9:00 PM;401;375.75
Jan 3, 2015;9:00 PM;10:00 PM;387.5;370.5
Jan 3, 2015;10:00 PM;11:00 PM;469.75;459.25
Jan 3, 2015;11:00 PM;12:00 AM;447.75;435.75
Jan 4, 2015;12:00 AM;1:00 AM;421.25;413.75
Jan 4, 2015;1:00 AM;2:00 AM;399;391.25
Jan 4, 2015;2:00 AM;3:00 AM;381.25;373.75
Jan 4, 2015;3:00 AM;4:00 AM;375.25;366.25
Jan 4, 2015;4:00 AM;5:00 AM;372.5;364.75
Jan 4, 2015;5:00 AM;6:00 AM;375.5;370.25
Jan 4, 2015;6:00 AM;7:00 AM;320.25;317.5
Jan 4, 2015;7:00 AM;8:00 AM;335.75;332
Jan 4, 2015;8:00 AM;9:00 AM;342.75;340.25
Jan 4, 2015;9:00 AM;10:00 AM;351.5;344.5
Jan 4, 2015;10:00 AM;11:00 AM;369.75;356.75
Jan 4, 2015;11:00 AM;12:00 PM;408.25;393.75
Jan 4, 2015;12:00 PM;1:00 PM;409.75;389.25
Jan 4, 2015;1:00 PM;2:00 PM;388.25;371.5
Jan 4, 2015;2:00 PM;3:00 PM;386.25;372
Jan 4, 2015;3:00 PM;4:00 PM;391.5;384.75
Jan 4, 2015;4:00 PM;5:00 PM;396;391.5
Jan 4, 2015;5:00 PM;6:00 PM;447.5;445.75
Jan 4, 2015;6:00 PM;7:00 PM;477.5;475.25
Jan 4, 2015;7:00 PM;8:00 PM;465.25;462.75
Jan 4, 2015;8:00 PM;9:00 PM;441.5;440.5
Jan 4, 2015;9:00 PM;10:00 PM;414;413
Jan 4, 2015;10:00 PM;11:00 PM;480.5;479.5
Jan 4, 2015;11:00 PM;12:00 AM;456;454.25
Jan 5, 2015;12:00 AM;1:00 AM;437;435.5
Jan 5, 2015;1:00 AM;2:00 AM;413;411.5
Jan 5, 2015;2:00 AM;3:00 AM;403;401.25
Jan 5, 2015;3:00 AM;4:00 AM;402.5;400.5
Jan 5, 2015;4:00 AM;5:00 AM;404.75;400.75
Jan 5, 2015;5:00 AM;6:00 AM;431.75;427.75
Jan 5, 2015;6:00 AM;7:00 AM;452.25;448.75
Jan 5, 2015;7:00 AM;8:00 AM;534.5;529.25
Jan 5, 2015;8:00 AM;9:00 AM;572;567.25
Jan 5, 2015;9:00 AM;10:00 AM;578;573
Jan 5, 2015;10:00 AM;11:00 AM;579.5;571.25
Jan 5, 2015;11:00 AM;12:00 PM;598.5;590
Jan 5, 2015;12:00 PM;1:00 PM;582.5;573.5
Jan 5, 2015;1:00 PM;2:00 PM;574.75;568
Jan 5, 2015;2:00 PM;3:00 PM;567.75;562.5
Jan 5, 2015;3:00 PM;4:00 PM;560.5;557.5
Jan 5, 2015;4:00 PM;5:00 PM;560.25;559.75
Jan 5, 2015;5:00 PM;6:00 PM;605.25;604.25
Jan 5, 2015;6:00 PM;7:00 PM;627.25;626.25
Jan 5, 2015;7:00 PM;8:00 PM;601;600
Jan 5, 2015;8:00 PM;9:00 PM;554.25;552.75
Jan 5, 2015;9:00 PM;10:00 PM;508;506
Jan 5, 2015;10:00 PM;11:00 PM;561.75;560.5
Jan 5, 2015;11:00 PM;12:00 AM;533.25;532.25
Jan 6, 2015;12:00 AM;1:00 AM;497.75;496.25
Jan 6, 2015;1:00 AM;2:00 AM;470.25;467.25
Jan 6, 2015;2:00 AM;3:00 AM;454.75;452.25
Jan 6, 2015;3:00 AM;4:00 AM;451.25;446.5
Jan 6, 2015;4:00 AM;5:00 AM;454.5;449.75
Jan 6, 2015;5:00 AM;6:00 AM;474;468.5
Jan 6, 2015;6:00 AM;7:00 AM;486;480.75
Jan 6, 2015;7:00 AM;8:00 AM;565.5;559.5
Jan 6, 2015;8:00 AM;9:00 AM;592.75;585.25
Jan 6, 2015;9:00 AM;10:00 AM;597.75;585
Jan 6, 2015;10:00 AM;11:00 AM;597.5;576.25
Jan 6, 2015;11:00 AM;12:00 PM;615.25;594.75
Jan 6, 2015;12:00 PM;1:00 PM;606;588.75
Jan 6, 2015;1:00 PM;2:00 PM;601.25;587
Jan 6, 2015;2:00 PM;3:00 PM;592.5;579.75
Jan 6, 2015;3:00 PM;4:00 PM;585;578
Jan 6, 2015;4:00 PM;5:00 PM;581.5;574.75
Jan 6, 2015;5:00 PM;6:00 PM;617.5;609.25
Jan 6, 2015;6:00 PM;7:00 PM;629.5;624.75
Jan 6, 2015;7:00 PM;8:00 PM;592;587
Jan 6, 2015;8:00 PM;9:00 PM;549.25;542.75
Jan 6, 2015;9:00 PM;10:00 PM;509;504
Jan 6, 2015;10:00 PM;11:00 PM;557;552
Jan 6, 2015;11:00 PM;12:00 AM;526.5;520
Jan 7, 2015;12:00 AM;1:00 AM;494;485
Jan 7, 2015;1:00 AM;2:00 AM;469.5;462.75
Jan 7, 2015;2:00 AM;3:00 AM;451.75;446
Jan 7, 2015;3:00 AM;4:00 AM;450.75;444
Jan 7, 2015;4:00 AM;5:00 AM;450;443.25
Jan 7, 2015;5:00 AM;6:00 AM;470.5;464.75
Jan 7, 2015;6:00 AM;7:00 AM;485;481.5
Jan 7, 2015;7:00 AM;8:00 AM;554.25;552.25
Jan 7, 2015;8:00 AM;9:00 AM;600;597.75
Jan 7, 2015;9:00 AM;10:00 AM;610.25;607.5
Jan 7, 2015;10:00 AM;11:00 AM;610.5;607.25
