Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
01.01.2015;00:00;01:00;6.068,5;6.003,5;450
01.01.2015;01:00;02:00;5.963,5;5.893,5;847,5
01.01.2015;02:00;03:00;5.726,25;5.662,25;1.149,75
01.01.2015;03:00;04:00;5.347;5.282;1.338,25
01.01.2015;04:00;05:00;5.249;5.185;1.323,5
01.01.2015;05:00;06:00;5.308,5;5.245;1.213
01.01.2015;06:00;07:00;5.574,75;5.491;1.361,25
01.01.2015;07:00;08:00;5.925,5;5.794,5;1.341,5
01.01.2015;08:00;09:00;6.343;6.231,75;1.137
01.01.2015;09:00;10:00;6.881,75;6.726,25;930
01.01.2015;10:00;11:00;6.963;6.796;736,25
01.01.2015;11:00;12:00;7.110;6.920,75;571
01.01.2015;12:00;13:00;7.136;6.913;498,25
01.01.2015;13:00;14:00;7.013,25;6.734;734,5
01.01.2015;14:00;15:00;6.734,75;6.408,75;758,25
01.01.2015;15:00;16:00;6.543,25;6.202,75;780,75
01.01.2015;16:00;17:00;6.603,25;6.254,5;0
01.01.2015;17:00;18:00;6.734,5;6.424,75;0
01.01.2015;18:00;19:00;6.625,75;6.420,75;0
01.01.2015;19:00;20:00;6.738,5;6.516,75;15,25
01.01.2015;20:00;21:00;6.654;6.403,5;841
01.01.2015;21:00;22:00;6.255;6.117;1.319
01.01.2015;22:00;23:00;6.221,5;6.129,75;1.204,25
01.01.2015;23:00;00:00;5.864;5.761;1.781,25
02.01.2015;00:00;01:00;5.533,25;5.427,25;1.586,75
02.01.2015;01:00;02:00;5.205,25;5.126,5;1.691,5
02.01.2015;02:00;03:00;4.971,25;4.844,75;1.721,25
02.01.2015;03:00;04:00;4.668,75;4.474;1.795,75
02.01.2015;04:00;05:00;4.755,5;4.530,75;1.878,75
02.01.2015;05:00;06:00;5.080,5;4.843,5;1.813
02.01.2015;06:00;07:00;5.421,75;5.210,75;1.605
02.01.2015;07:00;08:00;5.855,5;5.613;1.216,75
02.01.2015;08:00;09:00;6.366;6.061;733
02.01.2015;09:00;10:00;6.431,25;6.046,75;662
02.01.2015;10:00;11:00;6.699,25;6.253,75;691,5
02.01.2015;11:00;12:00;6.542,75;6.086;533,25
02.01.2015;12:00;13:00;6.310,75;5.828,75;551
02.01.2015;13:00;14:00;6.257,5;5.723,5;632,25
02.01.2015;14:00;15:00;6.306,75;5.746,25;598
02.01.2015;15:00;16:00;6.501,75;5.903,75;499,25
02.01.2015;16:00;17:00;6.888,75;6.331,75;156,75
02.01.2015;17:00;18:00;5.972,25;4.924,25;0
02.01.2015;18:00;19:00;5.892;4.393,5;0
02.01.2015;19:00;20:00;5.807,5;4.193;523,25
02.01.2015;20:00;21:00;5.313;3.611;948,25
02.01.2015;21:00;22:00;5.379;3.742,25;746,75
02.01.2015;22:00;23:00;5.325,5;3.813,5;1.132,5
02.01.2015;23:00;00:00;5.145,25;3.738,25;1.652,75
03.01.2015;00:00;01:00;5.827,25;4.454,5;1.472,25
03.01.2015;01:00;02:00;5.778,75;4.428,5;1.505
03.01.2015;02:00;03:00;5.467;4.163,25;1.569,5
03.01.2015;03:00;04:00;5.201,5;3.960,75;1.546,5
03.01.2015;04:00;05:00;5.244,5;4.098,75;1.198,75
03.01.2015;05:00;06:00;5.404,5;3.981,5;1.441,25
03.01.2015;06:00;07:00;5.402,25;4.036;1.600
03.01.2015;07:00;08:00;5.552,75;4.228,75;1.357,25
03.01.2015;08:00;09:00;5.476;4.174,25;1.060,25
03.01.2015;09:00;10:00;5.612;4.533,25;1.117,5
03.01.2015;10:00;11:00;5.660,25;4.716,25;897
03.01.2015;11:00;12:00;5.663;4.887,25;15,5
03.01.2015;12:00;13:00;5.304,5;4.736,75;0
03.01.2015;13:00;14:00;4.932,25;4.579,5;0
03.01.2015;14:00;15:00;4.705,5;4.382,75;0
