Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
01.01.2015;00:00;01:00;9.211,5;5.523;55
01.01.2015;01:00;02:00;8.981,25;4.917,75;60
01.01.2015;02:00;03:00;8.782,75;4.503,25;61,75
01.01.2015;03:00;04:00;8.605,5;4.563,5;122,75
01.01.2015;04:00;05:00;8.536;4.681,25;122,75
01.01.2015;05:00;06:00;8.323,25;4.570;122
01.01.2015;06:00;07:00;7.909,75;4.135,5;120
01.01.2015;07:00;08:00;8.110;4.056,25;120
01.01.2015;08:00;09:00;8.345;4.390,5;120
01.01.2015;09:00;10:00;9.063,75;4.832;118,25
01.01.2015;10:00;11:00;9.923,75;5.103,75;7,5
01.01.2015;11:00;12:00;11.049,75;5.551,75;7,5
01.01.2015;12:00;13:00;10.978,75;4.925,25;7,5
01.01.2015;13:00;14:00;10.559,25;4.607,5;17,5
01.01.2015;14:00;15:00;10.031,5;4.768;2,5
01.01.2015;15:00;16:00;9.704,75;4.907,25;2,5
01.01.2015;16:00;17:00;10.348,25;4.877,25;2,5
01.01.2015;17:00;18:00;11.151;4.726,75;2,5
01.01.2015;18:00;19:00;11.313,25;4.315,25;2,75
01.01.2015;19:00;20:00;11.133;3.767;58
01.01.2015;20:00;21:00;10.656,75;2.963;58
01.01.2015;21:00;22:00;10.182,5;2.195,25;1,5
01.01.2015;22:00;23:00;10.099,5;1.748,5;1,5
01.01.2015;23:00;00:00;9.495,75;755;1,5
02.01.2015;00:00;01:00;8.983,75;-16,25;1,5
02.01.2015;01:00;02:00;8.720,25;-623,25;1,5
02.01.2015;02:00;03:00;8.717,25;-833,75;1,5
02.01.2015;03:00;04:00;8.807,25;-1.108,5;1,5
02.01.2015;04:00;05:00;9.097,25;-1.278,75;1
02.01.2015;05:00;06:00;9.307,5;-1.144,25;1,5
02.01.2015;06:00;07:00;9.620;-745,5;1,5
02.01.2015;07:00;08:00;10.610,75;-23,5;1,5
02.01.2015;08:00;09:00;11.345,75;469,5;1,5
02.01.2015;09:00;10:00;12.011,75;1.201,5;1,5
02.01.2015;10:00;11:00;12.448;1.630,25;1,5
02.01.2015;11:00;12:00;12.875,25;1.972,75;1,5
02.01.2015;12:00;13:00;12.868;2.033;28,5
02.01.2015;13:00;14:00;12.581,25;1.819,75;18,25
02.01.2015;14:00;15:00;12.283,25;1.720;19,75
02.01.2015;15:00;16:00;12.078,25;1.815;14,5
02.01.2015;16:00;17:00;12.540,25;2.421,25;11
02.01.2015;17:00;18:00;13.134;3.850,5;62
02.01.2015;18:00;19:00;13.194,25;3.006,5;61,25
02.01.2015;19:00;20:00;12.977,75;2.352,5;60,25
02.01.2015;20:00;21:00;12.227,75;1.589,25;60
02.01.2015;21:00;22:00;11.511,75;936,5;32,75
02.01.2015;22:00;23:00;11.150,75;676;0,5
02.01.2015;23:00;00:00;10.452,75;-132,5;0,5
03.01.2015;00:00;01:00;9.795,5;-628;39
03.01.2015;01:00;02:00;9.472,75;-908,75;0,5
03.01.2015;02:00;03:00;9.339,5;-943,25;0,5
03.01.2015;03:00;04:00;9.371,75;-588;0,5
03.01.2015;04:00;05:00;9.505,5;47,25;0,5
03.01.2015;05:00;06:00;9.509,25;273,5;0,5
03.01.2015;06:00;07:00;9.444,5;-174;0,5
03.01.2015;07:00;08:00;10.078,75;15;0,5
03.01.2015;08:00;09:00;10.907,5;245,5;0,5
03.01.2015;09:00;10:00;11.648,25;881;0,5
03.01.2015;10:00;11:00;12.346,5;1.394,75;0,5
03.01.2015;11:00;12:00;12.893,75;1.511;0,5
03.01.2015;12:00;13:00;12.616,25;1.099,5;0,5
03.01.2015;13:00;14:00;12.160,25;1.124,75;0,5
03.01.2015;14:00;15:00;11.915,5;1.940,75;0,5
03.01.2015;15:00;16:00;11.872,75;2.805;2
03.01.2015;16:00;17:00;12.356,75;4.202,5;62
03.01.2015;17:00;18:00;12.939,25;5.009;62
03.01.2015;18:00;19:00;12.935,75;5.146,25;61,75
03.01.2015;19:00;20:00;12.625,5;5.490,25;60,5
03.01.2015;20:00;21:00;11.753,5;4.865,75;60
03.01.2015;21:00;22:00;10.993;3.976;60
03.01.2015;22:00;23:00;10.744,25;3.258,25;2,5
03.01.2015;23:00;00:00;10.164,75;1.994,75;2,5
04.01.2015;00:00;01:00;9.639,25;1.167;2,5
04.01.2015;01:00;02:00;9.285;429,75;2,5
04.01.2015;02:00;03:00;9.189;-27,25;2,5
04.01.2015;03:00;04:00;9.182,25;-260,25;2,5
04.01.2015;04:00;05:00;9.216,75;-386,5;2,5
04.01.2015;05:00;06:00;9.117;-534;2,5
04.01.2015;06:00;07:00;8.832;-554;2,5
04.01.2015;07:00;08:00;9.275,75;107,5;2,5
04.01.2015;08:00;09:00;9.925,25;811,25;2,5
04.01.2015;09:00;10:00;10.771,75;1.481,25;2,5
04.01.2015;10:00;11:00;11.629,25;2.001,25;2,5
04.01.2015;11:00;12:00;12.564,25;2.861,5;2,5
04.01.2015;12:00;13:00;12.280,25;2.648,25;2,5
04.01.2015;13:00;14:00;11.705,75;2.464,75;2,5
04.01.2015;14:00;15:00;11.180,75;2.440,25;2,5
04.01.2015;15:00;16:00;10.990;2.887,5;2,5
04.01.2015;16:00;17:00;11.577;3.930,75;2,5
