Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
01.01.2015;00:00;01:00;15.245,75;14.354,25;3
01.01.2015;01:00;02:00;15.201,5;14.339,25;4
01.01.2015;02:00;03:00;14.826;14.032,25;3,5
01.01.2015;03:00;04:00;14.405;13.579,25;3
01.01.2015;04:00;05:00;14.083,25;13.231,75;3
01.01.2015;05:00;06:00;13.810,25;13.009,75;249
01.01.2015;06:00;07:00;13.396,25;12.447;236,5
01.01.2015;07:00;08:00;13.311,5;12.013,5;261
01.01.2015;08:00;09:00;13.583,25;12.179,5;173,75
01.01.2015;09:00;10:00;14.548,25;13.089,25;100
01.01.2015;10:00;11:00;15.487,25;13.530;183,5
01.01.2015;11:00;12:00;16.297;13.921;44
01.01.2015;12:00;13:00;17.105,75;14.290,75;112,5
01.01.2015;13:00;14:00;16.914;14.360,75;129,5
01.01.2015;14:00;15:00;17.033,75;14.868;157,25
01.01.2015;15:00;16:00;17.099,25;15.457,25;73
01.01.2015;16:00;17:00;17.562;15.848,5;116,75
01.01.2015;17:00;18:00;19.076,25;17.054;0
01.01.2015;18:00;19:00;19.220,25;16.912,75;33
01.01.2015;19:00;20:00;19.262;16.760;15,25
01.01.2015;20:00;21:00;18.544,25;15.770,75;0
01.01.2015;21:00;22:00;18.277,75;15.200,75;182,75
01.01.2015;22:00;23:00;18.318,25;15.188,25;60,75
01.01.2015;23:00;00:00;17.368;14.020;157,75
02.01.2015;00:00;01:00;16.074,5;12.577;321,75
02.01.2015;01:00;02:00;15.591,25;11.841;527,25
02.01.2015;02:00;03:00;15.362;11.355,25;149,75
02.01.2015;03:00;04:00;15.441,75;11.244,75;0
02.01.2015;04:00;05:00;15.572,75;11.152,5;0
02.01.2015;05:00;06:00;15.933,75;11.288,25;417,25
02.01.2015;06:00;07:00;16.951,25;12.197,25;95,5
02.01.2015;07:00;08:00;18.559;13.922,5;282,75
02.01.2015;08:00;09:00;20.331,5;15.877,25;74
02.01.2015;09:00;10:00;21.486;17.311,5;0
02.01.2015;10:00;11:00;22.204;18.147,75;0
02.01.2015;11:00;12:00;22.718,5;18.367,25;0
02.01.2015;12:00;13:00;22.724,5;18.071,75;51,75
02.01.2015;13:00;14:00;22.380,75;17.562,25;3
02.01.2015;14:00;15:00;21.926,5;17.560,25;69,75
02.01.2015;15:00;16:00;21.513,5;17.583;67,5
02.01.2015;16:00;17:00;21.432;17.672;45,25
02.01.2015;17:00;18:00;22.344;18.532,25;23,5
02.01.2015;18:00;19:00;22.677,75;18.921,5;58
02.01.2015;19:00;20:00;22.136,75;18.785,5;0
02.01.2015;20:00;21:00;20.754;17.557,25;0
02.01.2015;21:00;22:00;20.022,75;16.773;229,5
02.01.2015;22:00;23:00;18.876,5;15.777,5;394,5
02.01.2015;23:00;00:00;15.258,25;12.245,5;300,25
03.01.2015;00:00;01:00;13.777,75;10.883,25;262,5
03.01.2015;01:00;02:00;13.048,25;10.502,75;150,25
03.01.2015;02:00;03:00;12.688;10.368;119,5
03.01.2015;03:00;04:00;12.718,25;10.614,25;29
03.01.2015;04:00;05:00;12.780,75;10.732;36,75
03.01.2015;05:00;06:00;13.052,75;11.085,75;254,5
03.01.2015;06:00;07:00;14.163,75;12.153;181,5
03.01.2015;07:00;08:00;14.708;12.427;272,25
03.01.2015;08:00;09:00;15.820,25;13.042,75;328
03.01.2015;09:00;10:00;17.129;14.233,75;0
03.01.2015;10:00;11:00;18.139,75;15.208,75;0
03.01.2015;11:00;12:00;18.934,75;16.288,25;1,5
03.01.2015;12:00;13:00;18.963,5;16.948,75;3
03.01.2015;13:00;14:00;19.758,75;18.328;3
03.01.2015;14:00;15:00;19.427,25;18.357,75;1,5
03.01.2015;15:00;16:00;19.265,5;18.391;0
03.01.2015;16:00;17:00;20.028;19.258,25;0
03.01.2015;17:00;18:00;21.047,75;20.207,75;0
03.01.2015;18:00;19:00;21.352,25;20.427,5;0
03.01.2015;19:00;20:00;21.395,25;20.291;0
03.01.2015;20:00;21:00;19.955,5;18.315;40
03.01.2015;21:00;22:00;19.201,25;17.204,75;184,75
03.01.2015;22:00;23:00;19.206;17.262,25;57,25
03.01.2015;23:00;00:00;18.117,25;16.008;258,75
04.01.2015;00:00;01:00;16.954,75;14.832,25;18
04.01.2015;01:00;02:00;14.360,75;12.164,75;53
04.01.2015;02:00;03:00;13.806,5;11.476;132,5
04.01.2015;03:00;04:00;13.637;11.448,25;72,5
04.01.2015;04:00;05:00;13.695;11.588;275,5
04.01.2015;05:00;06:00;13.473;11.377;194
04.01.2015;06:00;07:00;13.409,25;11.209;25,25
04.01.2015;07:00;08:00;14.688,25;12.452,75;7,75
04.01.2015;08:00;09:00;16.042;13.822,5;0
04.01.2015;09:00;10:00;17.182,75;14.859,5;0
04.01.2015;10:00;11:00;18.641,5;15.829,25;48,75
04.01.2015;11:00;12:00;19.684,5;16.587,75;53
04.01.2015;12:00;13:00;20.158,25;16.773,75;147,5
04.01.2015;13:00;14:00;19.952;16.660;245
04.01.2015;14:00;15:00;19.527;17.087,75;301,75
04.01.2015;15:00;16:00;19.388,5;17.612,5;114
04.01.2015;16:00;17:00;19.787,25;18.530,25;0
04.01.2015;17:00;18:00;21.003;19.759,5;0
04.01.2015;18:00;19:00;21.405,25;20.094,25;0
