Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
01.01.2015;00:00;01:00;423,25;423,25
01.01.2015;01:00;02:00;403,75;403,75
01.01.2015;02:00;03:00;383,25;383,25
01.01.2015;03:00;04:00;370;370
01.01.2015;04:00;05:00;363,75;363,75
01.01.2015;05:00;06:00;353,75;353,75
01.01.2015;06:00;07:00;299,5;299,5
01.01.2015;07:00;08:00;307,5;307,5
01.01.2015;08:00;09:00;302;302
01.01.2015;09:00;10:00;299,75;298
01.01.2015;10:00;11:00;314,25;309,75
01.01.2015;11:00;12:00;345,25;341,25
01.01.2015;12:00;13:00;357,25;352,5
01.01.2015;13:00;14:00;350;344,5
01.01.2015;14:00;15:00;345;338,75
01.01.2015;15:00;16:00;345;341,5
01.01.2015;16:00;17:00;353;350
01.01.2015;17:00;18:00;396,25;392,5
01.01.2015;18:00;19:00;411;406,75
01.01.2015;19:00;20:00;395,75;389,75
01.01.2015;20:00;21:00;377,25;369,25
01.01.2015;21:00;22:00;359;351,75
01.01.2015;22:00;23:00;429;417,25
01.01.2015;23:00;00:00;417,25;408
02.01.2015;00:00;01:00;391;380,25
02.01.2015;01:00;02:00;362,5;346,25
02.01.2015;02:00;03:00;345,25;326,5
02.01.2015;03:00;04:00;336,75;314
02.01.2015;04:00;05:00;337,5;314,25
02.01.2015;05:00;06:00;355,5;336
02.01.2015;06:00;07:00;340,75;323,75
02.01.2015;07:00;08:00;395,25;383,25
02.01.2015;08:00;09:00;429;418,75
02.01.2015;09:00;10:00;452,5;444
02.01.2015;10:00;11:00;468,75;459,75
02.01.2015;11:00;12:00;501;489,5
02.01.2015;12:00;13:00;490,5;476,75
02.01.2015;13:00;14:00;477,25;463,25
02.01.2015;14:00;15:00;469,75;458,5
02.01.2015;15:00;16:00;454;443,75
02.01.2015;16:00;17:00;452,25;440,5
02.01.2015;17:00;18:00;491,25;481
02.01.2015;18:00;19:00;506;493,75
02.01.2015;19:00;20:00;483;470,5
02.01.2015;20:00;21:00;451,75;441,25
02.01.2015;21:00;22:00;418,25;406,75
02.01.2015;22:00;23:00;482;473,75
02.01.2015;23:00;00:00;463,25;457
03.01.2015;00:00;01:00;439;434
03.01.2015;01:00;02:00;409;405,25
03.01.2015;02:00;03:00;391;387,75
03.01.2015;03:00;04:00;382;379,25
03.01.2015;04:00;05:00;378;374,5
03.01.2015;05:00;06:00;380,5;374
03.01.2015;06:00;07:00;340,5;331,5
03.01.2015;07:00;08:00;356,5;346
03.01.2015;08:00;09:00;372,5;364
03.01.2015;09:00;10:00;390,75;382
03.01.2015;10:00;11:00;417,5;411
03.01.2015;11:00;12:00;463;459,5
03.01.2015;12:00;13:00;471,5;470
03.01.2015;13:00;14:00;457,25;455,75
03.01.2015;14:00;15:00;444,25;441,75
03.01.2015;15:00;16:00;435,75;432,25
03.01.2015;16:00;17:00;423,25;413,5
03.01.2015;17:00;18:00;448,5;429,5
03.01.2015;18:00;19:00;460,25;437,75
03.01.2015;19:00;20:00;442;424,75
03.01.2015;20:00;21:00;401;375,75
03.01.2015;21:00;22:00;387,5;370,5
03.01.2015;22:00;23:00;469,75;459,25
03.01.2015;23:00;00:00;447,75;435,75
04.01.2015;00:00;01:00;421,25;413,75
04.01.2015;01:00;02:00;399;391,25
04.01.2015;02:00;03:00;381,25;373,75
04.01.2015;03:00;04:00;375,25;366,25
04.01.2015;04:00;05:00;372,5;364,75
04.01.2015;05:00;06:00;375,5;370,25
04.01.2015;06:00;07:00;320,25;317,5
04.01.2015;07:00;08:00;335,75;332
04.01.2015;08:00;09:00;342,75;340,25
04.01.2015;09:00;10:00;351,5;344,5
04.01.2015;10:00;11:00;369,75;356,75
04.01.2015;11:00;12:00;408,25;393,75
04.01.2015;12:00;13:00;409,75;389,25
04.01.2015;13:00;14:00;388,25;371,5
04.01.2015;14:00;15:00;386,25;372
04.01.2015;15:00;16:00;391,5;384,75
04.01.2015;16:00;17:00;396;391,5
04.01.2015;17:00;18:00;447,5;445,75
04.01.2015;18:00;19:00;477,5;475,25
04.01.2015;19:00;20:00;465,25;462,75
04.01.2015;20:00;21:00;441,5;440,5
04.01.2015;21:00;22:00;414;413
04.01.2015;22:00;23:00;480,5;479,5
04.01.2015;23:00;00:00;456;454,25
05.01.2015;00:00;01:00;437;435,5
05.01.2015;01:00;02:00;413;411,5
05.01.2015;02:00;03:00;403;401,25
05.01.2015;03:00;04:00;402,5;400,5
05.01.2015;04:00;05:00;404,75;400,75
05.01.2015;05:00;06:00;431,75;427,75
05.01.2015;06:00;07:00;452,25;448,75
05.01.2015;07:00;08:00;534,5;529,25
05.01.2015;08:00;09:00;572;567,25
05.01.2015;09:00;10:00;578;573
05.01.2015;10:00;11:00;579,5;571,25
05.01.2015;11:00;12:00;598,5;590
05.01.2015;12:00;13:00;582,5;573,5
05.01.2015;13:00;14:00;574,75;568
05.01.2015;14:00;15:00;567,75;562,5
05.01.2015;15:00;16:00;560,5;557,5
05.01.2015;16:00;17:00;560,25;559,75
05.01.2015;17:00;18:00;605,25;604,25
05.01.2015;18:00;19:00;627,25;626,25
05.01.2015;19:00;20:00;601;600
05.01.2015;20:00;21:00;554,25;552,75
05.01.2015;21:00;22:00;508;506
05.01.2015;22:00;23:00;561,75;560,5
05.01.2015;23:00;00:00;533,25;532,25
06.01.2015;00:00;01:00;497,75;496,25
06.01.2015;01:00;02:00;470,25;467,25
06.01.2015;02:00;03:00;454,75;452,25
06.01.2015;03:00;04:00;451,25;446,5
06.01.2015;04:00;05:00;454,5;449,75
