Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
01.01.2015;00:00;01:00;14.110,25;10.050,25;66,5
01.01.2015;01:00;02:00;13.267,5;9.384;9,25
01.01.2015;02:00;03:00;12.642;8.668,5;85,5
01.01.2015;03:00;04:00;12.132,5;7.938,5;653,5
01.01.2015;04:00;05:00;11.840,25;7.394,25;1.226,75
01.01.2015;05:00;06:00;11.439,75;6.767,75;1.335,25
01.01.2015;06:00;07:00;10.954,75;5.991,5;1.350,25
01.01.2015;07:00;08:00;11.203,75;6.230;1.316,25
01.01.2015;08:00;09:00;11.328;6.431,5;1.129
01.01.2015;09:00;10:00;11.809;6.758,75;450,75
01.01.2015;10:00;11:00;12.731,75;6.955,25;198,5
01.01.2015;11:00;12:00;13.966;7.223,75;157
01.01.2015;12:00;13:00;14.412;7.148;253,5
01.01.2015;13:00;14:00;14.245,5;6.867,25;99
01.01.2015;14:00;15:00;13.706,75;7.005,25;0
01.01.2015;15:00;16:00;13.634,75;7.513,25;0
01.01.2015;16:00;17:00;14.535,25;8.096,25;85,25
01.01.2015;17:00;18:00;15.572;8.585,5;49,75
01.01.2015;18:00;19:00;15.248;7.688;96
01.01.2015;19:00;20:00;14.272,75;6.139,25;87,25
01.01.2015;20:00;21:00;13.172,5;4.466,25;102
01.01.2015;21:00;22:00;12.249,5;2.970,5;138
01.01.2015;22:00;23:00;16.630,75;6.894,25;3
01.01.2015;23:00;00:00;15.790;5.829,5;45
02.01.2015;00:00;01:00;14.951;5.018,5;711,25
02.01.2015;01:00;02:00;14.400,5;4.130,75;1.336,75
02.01.2015;02:00;03:00;13.928;3.330;1.266,25
02.01.2015;03:00;04:00;13.720;2.907,25;1.287
02.01.2015;04:00;05:00;13.858,75;3.066,75;1.338,75
02.01.2015;05:00;06:00;14.630,5;3.722;1.322,5
02.01.2015;06:00;07:00;15.559,75;4.507,5;811,25
02.01.2015;07:00;08:00;16.790,25;6.042,25;275,5
02.01.2015;08:00;09:00;18.285,25;7.208,75;196,75
02.01.2015;09:00;10:00;18.925,5;8.015,75;92,75
02.01.2015;10:00;11:00;19.384,75;8.301;0
02.01.2015;11:00;12:00;19.935,75;8.496;0
02.01.2015;12:00;13:00;19.879,75;8.316,25;0
02.01.2015;13:00;14:00;19.633,25;7.867,5;75,75
02.01.2015;14:00;15:00;19.156,25;7.717,75;209,5
02.01.2015;15:00;16:00;18.984,25;7.967;210,25
02.01.2015;16:00;17:00;19.526,75;8.918;124,75
