Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
01.01.2015;00:00;01:00;5.470;5.465,75;476,5
01.01.2015;01:00;02:00;5.327;5.322;273
01.01.2015;02:00;03:00;5.087,25;5.080,25;370,75
01.01.2015;03:00;04:00;4.905,5;4.897,75;449,25
01.01.2015;04:00;05:00;4.865;4.854,25;469,5
01.01.2015;05:00;06:00;4.685,25;4.679;752,25
01.01.2015;06:00;07:00;4.466;4.464;1.160,75
01.01.2015;07:00;08:00;4.410,5;4.404,5;1.204
01.01.2015;08:00;09:00;4.294,5;4.287,5;1.217,5
01.01.2015;09:00;10:00;4.640,5;4.580;1.104,25
01.01.2015;10:00;11:00;4.893;4.780,25;911
01.01.2015;11:00;12:00;5.088,25;4.950,75;500,75
01.01.2015;12:00;13:00;5.402,5;5.234;516,25
01.01.2015;13:00;14:00;5.317,75;5.196;568
01.01.2015;14:00;15:00;5.169,75;5.100,5;384,5
01.01.2015;15:00;16:00;5.239,5;5.204;140,75
01.01.2015;16:00;17:00;5.460,75;5.452;354
01.01.2015;17:00;18:00;6.048,75;6.045,5;266,75
01.01.2015;18:00;19:00;6.159;6.156,5;413,75
01.01.2015;19:00;20:00;6.092,5;6.085,75;253,25
01.01.2015;20:00;21:00;5.841,5;5.833,75;300
01.01.2015;21:00;22:00;5.833,5;5.824,25;343,5
01.01.2015;22:00;23:00;5.857,5;5.839;359,25
01.01.2015;23:00;00:00;5.625;5.591,5;674
02.01.2015;00:00;01:00;5.280,5;5.238,75;975,5
02.01.2015;01:00;02:00;4.989,75;4.918,75;1.286,75
02.01.2015;02:00;03:00;4.860,25;4.768;545,5
02.01.2015;03:00;04:00;4.760,75;4.652,25;560,5
02.01.2015;04:00;05:00;4.912,75;4.779,75;980
02.01.2015;05:00;06:00;5.055,25;4.889,25;1.430,75
02.01.2015;06:00;07:00;5.187,5;5.004;1.225,25
02.01.2015;07:00;08:00;5.476,5;5.302,5;332
02.01.2015;08:00;09:00;5.795,5;5.575,25;300,25
02.01.2015;09:00;10:00;6.298;6.005,75;142
02.01.2015;10:00;11:00;6.598,5;6.248;157,25
02.01.2015;11:00;12:00;6.780;6.401,25;129,25
02.01.2015;12:00;13:00;6.934,25;6.617,5;83
02.01.2015;13:00;14:00;6.889;6.541,25;117,75
02.01.2015;14:00;15:00;6.728,5;6.447;200
02.01.2015;15:00;16:00;6.712,75;6.425,25;358
02.01.2015;16:00;17:00;6.885,25;6.608,25;817
02.01.2015;17:00;18:00;7.198;6.961,75;382
02.01.2015;18:00;19:00;7.132;6.902,75;385,5
02.01.2015;19:00;20:00;6.989,75;6.731;443,5
02.01.2015;20:00;21:00;6.652,75;6.406;351,75
02.01.2015;21:00;22:00;6.508,75;6.277,25;650,5
02.01.2015;22:00;23:00;6.403,25;6.173,75;828
02.01.2015;23:00;00:00;6.039,25;5.814,75;979,25
03.01.2015;00:00;01:00;5.622,75;5.418;1.152,75
03.01.2015;01:00;02:00;5.367;5.170,5;1.301,75
03.01.2015;02:00;03:00;5.172,25;4.980;878
03.01.2015;03:00;04:00;5.045,25;4.870,5;518,75
03.01.2015;04:00;05:00;5.096,5;4.962,25;563,75
03.01.2015;05:00;06:00;4.939;4.856,5;1.125,75
03.01.2015;06:00;07:00;4.862,5;4.814,75;1.104,75
03.01.2015;07:00;08:00;5.081,25;5.040,5;1.252
03.01.2015;08:00;09:00;5.303;5.214,75;1.106,75
03.01.2015;09:00;10:00;5.787,5;5.650,5;325,5
03.01.2015;10:00;11:00;6.027,25;5.781;180
03.01.2015;11:00;12:00;6.207,25;5.939;350,75
03.01.2015;12:00;13:00;6.459,75;6.234,5;144,75
03.01.2015;13:00;14:00;6.390,75;6.231,25;66,75
03.01.2015;14:00;15:00;6.340;6.166;24
03.01.2015;15:00;16:00;6.330,75;6.141,25;52
03.01.2015;16:00;17:00;6.531,25;6.316;202,25
03.01.2015;17:00;18:00;6.933,5;6.647,5;171,25
03.01.2015;18:00;19:00;6.981;6.610,5;135,75
03.01.2015;19:00;20:00;6.685,25;6.342,5;307,75
03.01.2015;20:00;21:00;6.310;5.868,5;375,75
03.01.2015;21:00;22:00;6.102,75;5.736,75;214,25
03.01.2015;22:00;23:00;6.057;5.767;369,5
03.01.2015;23:00;00:00;5.780;5.505,25;677,75
04.01.2015;00:00;01:00;5.410;5.209;416,75
04.01.2015;01:00;02:00;5.134;4.965;596,75
04.01.2015;02:00;03:00;4.924,75;4.775,75;936
04.01.2015;03:00;04:00;4.792,75;4.670;942,5
04.01.2015;04:00;05:00;4.881;4.732,5;1.015,5
04.01.2015;05:00;06:00;4.808,5;4.646,25;938,75
04.01.2015;06:00;07:00;4.629,75;4.489,75;910,75
04.01.2015;07:00;08:00;4.769;4.647,25;795
04.01.2015;08:00;09:00;4.821,5;4.722,25;587
04.01.2015;09:00;10:00;5.140;4.890,75;323,25
04.01.2015;10:00;11:00;5.307;4.785,75;202,5
04.01.2015;11:00;12:00;5.757,25;4.893,75;5,5
04.01.2015;12:00;13:00;5.951,5;5.085;211,25
04.01.2015;13:00;14:00;5.717,5;5.018,25;362
04.01.2015;14:00;15:00;5.405,5;4.943,5;144,5
04.01.2015;15:00;16:00;5.413,75;5.102,25;0,75
04.01.2015;16:00;17:00;5.603;5.443;35,25
04.01.2015;17:00;18:00;6.288,5;6.116,75;0
04.01.2015;18:00;19:00;6.475,75;6.290,25;1,25
04.01.2015;19:00;20:00;6.397,5;6.206,5;318,75
04.01.2015;20:00;21:00;6.223,5;6.035,5;514,75
04.01.2015;21:00;22:00;6.218,25;6.038;773,5
04.01.2015;22:00;23:00;6.298,25;6.123,75;408,5
04.01.2015;23:00;00:00;6.066,25;5.897,5;1.052,25
05.01.2015;00:00;01:00;5.627,25;5.533;1.394,75
05.01.2015;01:00;02:00;5.291;5.195,75;1.397,5
05.01.2015;02:00;03:00;5.128,25;5.066;1.767,75
05.01.2015;03:00;04:00;5.145,5;5.068,5;1.643,75
05.01.2015;04:00;05:00;5.311,75;5.267,5;1.721,75
05.01.2015;05:00;06:00;5.416,5;5.364,75;1.241,25
05.01.2015;06:00;07:00;5.691,75;5.651,5;1.151,25
05.01.2015;07:00;08:00;6.075,25;6.047,25;609,25
05.01.2015;08:00;09:00;6.388,25;6.333;251,5
05.01.2015;09:00;10:00;6.574;6.214,75;440,5
05.01.2015;10:00;11:00;6.688,25;5.715,25;547,75
05.01.2015;11:00;12:00;6.794,5;5.325,25;417,75
05.01.2015;12:00;13:00;6.974,75;5.251,75;286
05.01.2015;13:00;14:00;6.843,75;5.197;344,5
05.01.2015;14:00;15:00;6.623;5.382,75;165
05.01.2015;15:00;16:00;6.592,75;5.972;0,25
05.01.2015;16:00;17:00;6.721,75;6.633,5;52
05.01.2015;17:00;18:00;7.360;7.354,75;7,75
05.01.2015;18:00;19:00;7.465;7.456;0
05.01.2015;19:00;20:00;7.333,75;7.325,5;107,5
05.01.2015;20:00;21:00;6.913,75;6.909;156,5
05.01.2015;21:00;22:00;6.752,5;6.748;260,25
05.01.2015;22:00;23:00;6.669,25;6.663,25;184
05.01.2015;23:00;00:00;6.218;6.207,5;247
06.01.2015;00:00;01:00;5.849,5;5.843;615,5
06.01.2015;01:00;02:00;5.593,25;5.586,5;535,25
06.01.2015;02:00;03:00;5.444,25;5.434;1.204,5
06.01.2015;03:00;04:00;5.365,5;5.350,75;905,75
06.01.2015;04:00;05:00;5.404,25;5.386;1.016,25
06.01.2015;05:00;06:00;5.262,5;5.241,75;443,5
06.01.2015;06:00;07:00;4.984;4.961,25;138
06.01.2015;07:00;08:00;5.067;5.043;46,25
06.01.2015;08:00;09:00;5.158,5;5.080;171,25
06.01.2015;09:00;10:00;5.574,5;4.965,75;215,75
06.01.2015;10:00;11:00;5.810,5;4.528,5;103
06.01.2015;11:00;12:00;6.008,25;4.363;335,25
06.01.2015;12:00;13:00;6.208;4.583,25;326,5
06.01.2015;13:00;14:00;5.895,5;4.642,5;235
06.01.2015;14:00;15:00;5.576,75;4.819,25;202,25
06.01.2015;15:00;16:00;5.568;5.225,75;225,75
06.01.2015;16:00;17:00;5.876,5;5.809,5;481
06.01.2015;17:00;18:00;6.650,5;6.621;289,5
06.01.2015;18:00;19:00;6.854,25;6.827,75;679
06.01.2015;19:00;20:00;6.746,25;6.717,5;371
06.01.2015;20:00;21:00;6.501,5;6.460;296,75
06.01.2015;21:00;22:00;6.463,25;6.407,5;370,5
06.01.2015;22:00;23:00;6.481;6.408;722,75
06.01.2015;23:00;00:00;6.118,75;6.040,75;809,75
07.01.2015;00:00;01:00;5.656;5.596;461,5
07.01.2015;01:00;02:00;5.266,25;5.200,5;721,75
07.01.2015;02:00;03:00;5.153,25;5.064;646,25
07.01.2015;03:00;04:00;5.161,75;5.076,75;829
07.01.2015;04:00;05:00;5.431,75;5.344,25;1.324,5
07.01.2015;05:00;06:00;5.853,25;5.775,75;557,75
07.01.2015;06:00;07:00;7.056;6.978,25;208
07.01.2015;07:00;08:00;8.101,75;8.026,25;57,5
07.01.2015;08:00;09:00;8.574,75;8.493,5;0
07.01.2015;09:00;10:00;8.787;8.639,25;0
07.01.2015;10:00;11:00;8.970,25;8.657,75;21,75
07.01.2015;11:00;12:00;9.027,75;8.546,25;84,75
07.01.2015;12:00;13:00;9.037,75;8.421,25;140,25
07.01.2015;13:00;14:00;8.986;8.351,5;74,75
07.01.2015;14:00;15:00;8.783,75;8.254,5;143,75
07.01.2015;15:00;16:00;8.683;8.378,75;51
07.01.2015;16:00;17:00;8.675,5;8.596,5;0
07.01.2015;17:00;18:00;9.075;9.037,75;41
07.01.2015;18:00;19:00;8.971;8.929,25;23,75
07.01.2015;19:00;20:00;8.793,75;8.748,75;4
07.01.2015;20:00;21:00;8.248,75;8.194,25;4,75
07.01.2015;21:00;22:00;7.977,25;7.910,75;170,5
07.01.2015;22:00;23:00;7.596,25;7.528;180,75
07.01.2015;23:00;00:00;7.055,25;6.979,25;624,25
08.01.2015;00:00;01:00;6.550,25;6.460,25;659,5
08.01.2015;01:00;02:00;6.141,25;6.049,25;590,25
08.01.2015;02:00;03:00;6.006,5;5.888;837,25
08.01.2015;03:00;04:00;5.981,5;5.840;1.081
08.01.2015;04:00;05:00;6.152,5;5.996,5;1.029,25
08.01.2015;05:00;06:00;6.417,5;6.259,25;782,5
08.01.2015;06:00;07:00;7.449;7.281,75;700,75
08.01.2015;07:00;08:00;8.460;8.265,5;95,25
08.01.2015;08:00;09:00;8.842,5;8.615;1
08.01.2015;09:00;10:00;9.000;8.682,25;59,75
08.01.2015;10:00;11:00;9.124;8.686,75;31,5
08.01.2015;11:00;12:00;9.229,25;8.612;0,25
08.01.2015;12:00;13:00;9.107;8.409,5;9,5
08.01.2015;13:00;14:00;9.086,75;8.429,75;0
08.01.2015;14:00;15:00;8.827;8.291,5;0
08.01.2015;15:00;16:00;8.668,25;8.247,5;222,25
08.01.2015;16:00;17:00;8.683,75;8.279,75;79,25
08.01.2015;17:00;18:00;8.977,25;8.543,75;0
08.01.2015;18:00;19:00;8.815;8.401,25;394,5
08.01.2015;19:00;20:00;8.575,5;8.150,75;138,25
08.01.2015;20:00;21:00;8.151;7.687,75;448,75
08.01.2015;21:00;22:00;7.826,25;7.365;390,5
08.01.2015;22:00;23:00;7.440,5;6.983,25;559,75
08.01.2015;23:00;00:00;6.872,25;6.477,75;847,5
09.01.2015;00:00;01:00;6.309,25;5.949;1.004,75
09.01.2015;01:00;02:00;5.807,25;5.523,75;847,5
09.01.2015;02:00;03:00;5.704;5.420,25;1.087,75
09.01.2015;03:00;04:00;5.745,5;5.509;1.625,75
09.01.2015;04:00;05:00;5.988,25;5.687;1.361,75
09.01.2015;05:00;06:00;6.302,25;5.986,25;637,5
09.01.2015;06:00;07:00;7.301,25;6.986;214,25
09.01.2015;07:00;08:00;8.364,75;8.015;27,25
09.01.2015;08:00;09:00;8.862,75;8.447,25;37,5
09.01.2015;09:00;10:00;8.991;8.485,25;0,5
09.01.2015;10:00;11:00;9.027,5;8.366,75;1,5
09.01.2015;11:00;12:00;9.250,25;8.434,75;3
09.01.2015;12:00;13:00;9.115,75;8.356,5;87,25
09.01.2015;13:00;14:00;8.949,5;8.230;300,75
09.01.2015;14:00;15:00;8.643,75;8.069,75;167
09.01.2015;15:00;16:00;8.573;8.019,75;184,25
09.01.2015;16:00;17:00;8.518;8.058;205,5
09.01.2015;17:00;18:00;8.886,75;8.393,25;6
09.01.2015;18:00;19:00;8.725,75;8.241,75;112,75
09.01.2015;19:00;20:00;8.343,75;7.901,75;23
09.01.2015;20:00;21:00;7.894,5;7.407;113,5
09.01.2015;21:00;22:00;7.605;7.113,25;394,5
09.01.2015;22:00;23:00;7.265;6.767;199,75
09.01.2015;23:00;00:00;6.717;6.214,25;282,25
10.01.2015;00:00;01:00;6.195;5.690,5;571,5
10.01.2015;01:00;02:00;5.749;5.246,25;674,25
10.01.2015;02:00;03:00;5.443,25;4.945;121,75
10.01.2015;03:00;04:00;5.359,5;4.863,5;680,75
10.01.2015;04:00;05:00;5.414,75;4.969,25;854
10.01.2015;05:00;06:00;5.323,5;4.899;776,75
10.01.2015;06:00;07:00;5.501,75;5.012,75;671,5
10.01.2015;07:00;08:00;5.893;5.406;833,75
10.01.2015;08:00;09:00;6.290,75;5.792;500,75
10.01.2015;09:00;10:00;6.526,75;5.960;292
10.01.2015;10:00;11:00;6.493,5;5.574,5;547,75
10.01.2015;11:00;12:00;6.645,5;5.232,75;567,75
10.01.2015;12:00;13:00;7.114,5;5.317,25;563,25
10.01.2015;13:00;14:00;6.934;5.374;357,75
10.01.2015;14:00;15:00;6.614,5;5.500,25;305
10.01.2015;15:00;16:00;6.476;5.777,5;205,25
10.01.2015;16:00;17:00;6.530,5;6.063,75;133,5
10.01.2015;17:00;18:00;7.109,25;6.689,25;13,75
10.01.2015;18:00;19:00;7.198,5;6.755;0
10.01.2015;19:00;20:00;6.930,25;6.482,75;325,5
10.01.2015;20:00;21:00;6.372;5.945,75;147,75
10.01.2015;21:00;22:00;6.276,5;5.833;67,25
10.01.2015;22:00;23:00;6.137;5.777;155,25
10.01.2015;23:00;00:00;5.769,75;5.453,25;855,5
11.01.2015;00:00;01:00;5.383;5.063;569,25
11.01.2015;01:00;02:00;5.085,5;4.805,75;715,25
11.01.2015;02:00;03:00;4.844,75;4.593,75;434,25
11.01.2015;03:00;04:00;4.824;4.606;509
11.01.2015;04:00;05:00;5.010,5;4.783;548
11.01.2015;05:00;06:00;5.005,75;4.769,25;569
11.01.2015;06:00;07:00;4.802,75;4.582;1.677,25
11.01.2015;07:00;08:00;5.008,75;4.732,75;1.247,5
11.01.2015;08:00;09:00;5.120,25;4.811,5;975,5
11.01.2015;09:00;10:00;5.673;5.127,75;424,25
11.01.2015;10:00;11:00;6.138,5;5.314;52,75
11.01.2015;11:00;12:00;6.362,25;5.431,5;135,25
11.01.2015;12:00;13:00;6.439,75;5.449,25;341,75
11.01.2015;13:00;14:00;6.253,25;5.085,5;554
11.01.2015;14:00;15:00;5.964;4.894,5;534,75
11.01.2015;15:00;16:00;5.945,75;5.172;543,75
11.01.2015;16:00;17:00;5.985,5;5.559;410,5
11.01.2015;17:00;18:00;6.655;6.260,5;57,25
11.01.2015;18:00;19:00;6.872;6.485;43
11.01.2015;19:00;20:00;6.768,5;6.380,5;5,5
11.01.2015;20:00;21:00;6.574,25;6.177,75;119
11.01.2015;21:00;22:00;6.592,5;6.154;158,5
11.01.2015;22:00;23:00;6.724,25;6.311,25;56
11.01.2015;23:00;00:00;6.449,75;6.037;565,75
12.01.2015;00:00;01:00;6.019,75;5.600,25;1.133,25
12.01.2015;01:00;02:00;5.740,25;5.322,5;1.359
12.01.2015;02:00;03:00;5.640,5;5.220,5;874,25
12.01.2015;03:00;04:00;5.633,5;5.209,75;1.185,25
12.01.2015;04:00;05:00;5.921;5.500,75;1.034
12.01.2015;05:00;06:00;6.430;6.014,5;889,25
12.01.2015;06:00;07:00;7.689,75;7.277,75;340,75
12.01.2015;07:00;08:00;8.814,75;8.410;10,5
12.01.2015;08:00;09:00;9.153,25;8.760,75;4
12.01.2015;09:00;10:00;9.257,25;8.730,5;4
12.01.2015;10:00;11:00;9.437,75;8.637,25;4
12.01.2015;11:00;12:00;9.411,75;8.391,5;0,5
12.01.2015;12:00;13:00;9.488;8.295,75;82,75
12.01.2015;13:00;14:00;9.470,5;8.414,25;80,5
12.01.2015;14:00;15:00;9.128,5;8.256,5;248,5
12.01.2015;15:00;16:00;8.978,5;8.350,25;151
12.01.2015;16:00;17:00;8.961,25;8.494,75;200,5
12.01.2015;17:00;18:00;9.321,75;8.944,75;9,75
12.01.2015;18:00;19:00;9.258,25;8.901,75;72,75
12.01.2015;19:00;20:00;9.041,75;8.704,75;148,25
12.01.2015;20:00;21:00;8.535,75;8.260,5;845,25
12.01.2015;21:00;22:00;8.240,25;7.984,25;649
12.01.2015;22:00;23:00;7.776;7.507;307,5
12.01.2015;23:00;00:00;7.213;6.940,5;728,75
13.01.2015;00:00;01:00;6.744,5;6.471,5;276,25
13.01.2015;01:00;02:00;6.374,25;6.103,75;263,75
13.01.2015;02:00;03:00;6.264,5;5.989,25;680
13.01.2015;03:00;04:00;6.308,75;6.032,25;985,5
13.01.2015;04:00;05:00;6.491,25;6.246,5;1.008,75
13.01.2015;05:00;06:00;6.843;6.634,25;743
13.01.2015;06:00;07:00;7.914,75;7.689,5;237
13.01.2015;07:00;08:00;8.976;8.719,5;0
13.01.2015;08:00;09:00;9.273,75;8.916,25;167,75
13.01.2015;09:00;10:00;9.207,75;8.231,5;484,5
13.01.2015;10:00;11:00;9.366,5;7.597,75;288,5
13.01.2015;11:00;12:00;9.379,25;7.138,25;322,25
