,learning_rate,batch_size,e_layers,d_layers,d_model,seq_len,pred_len,MSE,MAE,Epochs,Time[min],Params[Mio.],Max_mem[MB]
0,0.0001,32,2,1,512,336,24,0.06223691254854202,0.17153792083263397,16,3,0.02,18.59
1,0.0001,32,2,1,512,336,336,0.1338990032672882,0.25876283645629883,15,3,0.23,22.75
2,0.0005,32,2,1,512,336,24,0.0516912117600441,0.14904826879501343,16,3,0.02,18.59
3,0.0005,32,2,1,512,336,336,0.12720705568790436,0.2470366507768631,9,2,0.23,22.75
4,0.001,32,2,1,512,336,24,0.050598155707120895,0.14658083021640778,16,3,0.02,18.59
5,0.001,32,2,1,512,336,336,0.12670429050922394,0.24616804718971252,9,2,0.23,22.75
6,0.005,32,2,1,512,96,24,0.17650900781154633,0.2957976460456848,16,2,0.0,17.77
7,0.005,32,2,1,512,96,336,0.21155448257923126,0.3260323405265808,11,2,0.07,19.65
8,0.005,32,2,1,512,336,24,0.062431421130895615,0.17206363379955292,4,0,0.02,18.59
9,0.005,32,2,1,512,336,336,0.1365301012992859,0.26399415731430054,4,0,0.23,22.75
10,0.01,32,2,1,512,336,24,0.05724851414561272,0.16102349758148193,4,0,0.02,18.59
11,0.01,32,2,1,512,336,336,0.13269144296646118,0.25586241483688354,4,0,0.23,22.75
