,learning_rate,batch_size,e_layers,d_layers,d_model,seq_len,pred_len,optim,lradj,dropout,weight_decay,MSE,MAE,Epochs,Time[min],Params[Mio.],Max_mem[MB]
0,0.0005,32,3,1,64,336,192,adam,TST,0.2,0.0,0.07547932118177414,0.1909831464290619,33,17,0.62,48.4
1,0.0005,32,3,1,64,512,192,adam,TST,0.2,0.0,0.07312601059675217,0.1904621422290802,34,18,0.89,71.54
2,0.0005,32,3,1,128,336,192,adam,TST,0.2,0.0,0.0766126736998558,0.19331607222557068,47,27,1.44,80.9
3,0.0005,32,3,1,128,512,192,adam,TST,0.2,0.0,0.069687120616436,0.18832506239414215,27,15,1.98,126.09
4,0.0005,32,3,1,256,336,192,adam,TST,0.2,0.0,0.07311508804559708,0.18780174851417542,50,29,3.66,145.93
5,0.0005,32,3,1,256,512,192,adam,TST,0.2,0.0,0.07315930724143982,0.19331353902816772,18,10,4.75,200.71
6,0.0005,32,6,1,64,336,192,adam,TST,0.2,0.0,0.08150088787078857,0.1975678652524948,23,19,0.72,67.0
7,0.0005,32,6,1,64,512,192,adam,TST,0.2,0.0,0.07738330960273743,0.19614839553833008,21,17,0.99,107.35
8,0.0005,32,6,1,128,336,192,adam,TST,0.2,0.0,0.07419000566005707,0.1896125078201294,50,42,1.83,122.38
9,0.0005,32,6,1,128,512,192,adam,TST,0.2,0.0,0.07321441173553467,0.19264787435531616,19,16,2.38,194.41
10,0.0005,32,6,1,256,336,192,adam,TST,0.2,0.0,0.07185569405555725,0.18594583868980408,50,43,5.24,229.51
11,0.0005,32,6,1,256,512,192,adam,TST,0.2,0.0,0.07109955698251724,0.18685157597064972,36,30,6.33,322.33
12,0.001,32,3,1,64,336,192,adam,TST,0.2,0.0,0.07476279139518738,0.1908494532108307,38,21,0.62,48.4
13,0.001,32,3,1,64,512,192,adam,TST,0.2,0.0,0.07256042957305908,0.18948808312416077,28,15,0.89,71.54
14,0.001,32,3,1,128,336,192,adam,TST,0.2,0.0,0.07152538001537323,0.18655741214752197,49,27,1.44,80.9
15,0.001,32,3,1,128,512,192,adam,TST,0.2,0.0,0.0684339702129364,0.186015784740448,29,17,1.98,126.09
16,0.001,32,3,1,256,336,192,adam,TST,0.2,0.0,0.07165849953889847,0.1864340603351593,47,27,3.66,145.93
17,0.001,32,3,1,256,512,192,adam,TST,0.2,0.0,0.07342863082885742,0.1932194083929062,22,14,4.75,200.71
18,0.001,32,6,1,64,336,192,adam,TST,0.2,0.0,0.07307212799787521,0.18604284524917603,36,29,0.72,67.0
19,0.001,32,6,1,64,512,192,adam,TST,0.2,0.0,0.07630003988742828,0.1964656412601471,23,19,0.99,107.35
20,0.001,32,6,1,128,336,192,adam,TST,0.2,0.0,0.0723218023777008,0.18712206184864044,50,41,1.83,122.38
21,0.001,32,6,1,128,512,192,adam,TST,0.2,0.0,0.07419715076684952,0.19080054759979248,29,24,2.38,194.41
22,0.001,32,6,1,256,336,192,adam,TST,0.2,0.0,0.08846517652273178,0.21048656105995178,15,12,5.24,229.51
23,0.001,32,6,1,256,512,192,adam,TST,0.2,0.0,0.08319557458162308,0.20779366791248322,15,13,6.33,322.33
