,learning_rate,batch_size,e_layers,d_layers,d_model,MSE,MAE,Epochs,Time[min],Params[Mio.],Max_mem[MB]
0,1e-05,32,2,1,32,0.19689078629016876,0.3489486575126648,18,12,0.0,431
1,1e-05,32,2,1,128,0.10234750807285309,0.24055422842502594,13,9,0.7,837
2,1e-05,32,2,1,512,0.07866095751523972,0.20563289523124695,12,14,10.5,1640
3,1e-05,32,4,3,128,0.09091315418481827,0.22490094602108002,13,19,1.6,2030
4,1e-05,64,2,1,32,0.24668791890144348,0.3938780725002289,17,7,0.0,716
5,1e-05,64,2,1,128,0.13270220160484314,0.2812872529029846,16,9,0.7,1510
6,1e-05,64,2,1,512,0.08540787547826767,0.21507209539413452,12,13,10.5,3110
7,1e-05,64,4,3,128,0.11313223838806152,0.2569243311882019,21,25,1.6,3881
8,1e-05,128,2,1,32,0.34137246012687683,0.46919140219688416,17,6,0.0,1359
9,1e-05,128,2,1,128,0.19514088332653046,0.35039210319519043,16,7,0.7,2868
10,1e-05,128,2,1,512,0.09372591227293015,0.22696083784103394,12,11,10.5,6056
11,1e-05,128,4,3,128,0.16612271964550018,0.32248246669769287,21,23,1.6,7603
12,0.0001,32,2,1,32,0.08995375037193298,0.22353582084178925,12,8,0.0,431
13,0.0001,32,2,1,128,0.0697687640786171,0.19669109582901,8,5,0.7,837
14,0.0001,32,2,1,512,0.07377253472805023,0.20334284007549286,5,5,10.5,1640
15,0.0001,32,4,3,128,0.06668274849653244,0.18969044089317322,6,8,1.6,2030
16,0.0001,64,2,1,32,0.10119728744029999,0.2395348846912384,13,5,0.0,716
17,0.0001,64,2,1,128,0.07479582726955414,0.20220834016799927,9,5,0.7,1510
18,0.0001,64,2,1,512,0.06941679865121841,0.19630052149295807,7,7,10.5,3109
19,0.0001,64,4,3,128,0.06928622722625732,0.19409576058387756,13,15,1.6,3881
20,0.0001,128,2,1,32,0.12482387572526932,0.27009230852127075,17,5,0.0,1359
21,0.0001,128,2,1,128,0.08438888937234879,0.21565942466259003,13,6,0.7,2868
22,0.0001,128,2,1,512,0.0710315853357315,0.19874878227710724,7,6,10.5,6056
23,0.0001,128,4,3,128,0.07777702063322067,0.20651379227638245,16,18,1.6,7603
24,0.0005,32,2,1,32,0.08463388681411743,0.2191746085882187,6,4,0.0,431
25,0.0005,32,2,1,128,0.09270026534795761,0.23535414040088654,5,3,0.7,837
26,0.0005,32,2,1,512,0.07230761647224426,0.19834138453006744,5,5,10.5,1640
27,0.0005,32,4,3,128,0.07054786384105682,0.19655510783195496,5,7,1.6,2030
28,0.0005,64,2,1,32,0.0828564465045929,0.2139061838388443,9,4,0.0,716
29,0.0005,64,2,1,128,0.06817760318517685,0.1939784735441208,5,2,0.7,1510
30,0.0005,64,2,1,512,0.0820881798863411,0.21069902181625366,5,5,10.5,3109
31,0.0005,64,4,3,128,0.06790538877248764,0.193210169672966,5,6,1.6,3881
32,0.0005,128,2,1,32,0.0872628465294838,0.21965761482715607,12,4,0.0,1359
33,0.0005,128,2,1,128,0.06880129873752594,0.1955665796995163,7,3,0.7,2868
34,0.0005,128,2,1,512,0.06922219693660736,0.19347377121448517,5,4,10.5,6056
35,0.0005,128,4,3,128,0.0672963336110115,0.1940588355064392,7,7,1.6,7603
36,0.001,32,2,1,32,0.10837706923484802,0.2554178535938263,5,3,0.0,431
37,0.001,32,2,1,128,0.09485466033220291,0.22990188002586365,4,2,0.7,837
38,0.001,32,2,1,512,0.07991673797369003,0.21205981075763702,4,4,10.5,1640
39,0.001,32,4,3,128,0.07787538319826126,0.20973935723304749,5,7,1.6,2030
40,0.001,64,2,1,32,0.08352439105510712,0.21750769019126892,6,2,0.0,716
41,0.001,64,2,1,128,0.08841150999069214,0.22873415052890778,5,2,0.7,1510
42,0.001,64,2,1,512,0.08233366906642914,0.21256224811077118,4,4,10.5,3109
43,0.001,64,4,3,128,0.06931798905134201,0.19544582068920135,5,6,1.6,3881
44,0.001,128,2,1,32,0.08296043425798416,0.21424058079719543,13,4,0.0,1359
45,0.001,128,2,1,128,0.07832547277212143,0.21254469454288483,5,2,0.7,2868
46,0.001,128,2,1,512,0.08820057660341263,0.21901698410511017,4,3,10.5,6056
47,0.001,128,4,3,128,0.06767549365758896,0.19174671173095703,7,7,1.6,7603
