,learning_rate,batch_size,e_layers,d_layers,d_model,seq_len,MSE,MAE,Epochs,Time[min],Params[Mio.],Max_mem[MB]
0,0.0001,32,2,1,32,96,0.05118066072463989,0.17280162870883942,9,4,0.0,204.88
1,0.0001,32,2,1,32,336,0.04882360249757767,0.1664234697818756,12,7,0.0,582.79
2,0.0001,32,2,1,64,96,0.03772042691707611,0.14340969920158386,13,6,0.2,261.88
3,0.0001,32,2,1,64,336,0.0378846675157547,0.1456063836812973,17,11,0.2,1017.93
4,0.0001,32,2,1,128,96,0.031415242701768875,0.13026703894138336,10,5,0.7,311.76
5,0.0001,32,2,1,128,336,0.032051946967840195,0.13324865698814392,11,7,0.7,1098.12
6,0.0001,32,2,1,256,96,0.029116857796907425,0.12251080572605133,8,4,2.6,421.92
7,0.0001,32,2,1,256,336,0.027029475197196007,0.12231036275625229,9,8,2.6,1392.48
8,0.0001,32,2,1,512,96,0.02917635254561901,0.12212424725294113,6,3,10.5,695.12
9,0.0001,32,2,1,512,336,0.025579087436199188,0.11936045438051224,7,10,10.5,2110.44
10,0.0001,32,3,3,32,96,0.0445237010717392,0.15802447497844696,10,8,0.1,263.3
11,0.0001,32,3,3,32,336,0.04933244362473488,0.167200967669487,11,11,0.1,996.17
12,0.0001,32,3,3,64,96,0.03407704457640648,0.13614077866077423,14,11,0.4,384.19
13,0.0001,32,3,3,64,336,0.034823253750801086,0.1386486142873764,13,15,0.4,1843.87
14,0.0001,32,3,3,128,96,0.029479412361979485,0.1253899186849594,9,7,1.4,483.24
15,0.0001,32,3,3,128,336,0.02729347161948681,0.12238546460866928,12,15,1.4,2051.89
16,0.0001,32,3,3,256,96,0.027403591200709343,0.11694886535406113,9,7,5.5,699.53
17,0.0001,32,3,3,256,336,0.023768888786435127,0.11380887776613235,9,16,5.5,2618.26
18,0.0001,32,3,3,512,96,0.027302823960781097,0.11689352989196777,8,8,22.1,1229.64
19,0.0001,32,3,3,512,336,0.023939721286296844,0.11345767974853516,8,22,22.1,3925.68
20,0.0001,32,6,6,32,96,0.04176459088921547,0.15085461735725403,11,16,0.2,378.23
21,0.0001,32,6,6,32,336,0.04280881583690643,0.15453217923641205,14,23,0.2,1837.93
22,0.0001,32,6,6,64,96,0.033515989780426025,0.13485479354858398,9,13,0.7,613.35
23,0.0001,32,6,6,64,336,0.032028425484895706,0.13335850834846497,12,25,0.7,3527.53
24,0.0001,32,6,6,128,96,0.030196940526366234,0.12447796016931534,12,17,2.8,807.94
25,0.0001,32,6,6,128,336,0.02562480792403221,0.11864318698644638,14,32,2.8,4000.52
26,0.0001,32,6,6,256,96,0.02757183089852333,0.11797281354665756,8,11,11.1,1238.59
27,0.0001,32,6,6,256,336,0.023563465103507042,0.11326391249895096,8,27,11.1,5117.27
28,0.0001,32,6,6,512,96,0.027722438797354698,0.11640233546495438,7,12,44.2,2281.85
