,learning_rate,batch_size,e_layers,d_layers,d_model,seq_len,pred_len,MSE,MAE,Epochs,Time[min],Params[Mio.],Max_mem[MB]
0,0.0001,32,3,1,32,96,24,0.05414429306983948,0.16448335349559784,17,6,0.02,146.61
1,0.0001,32,3,1,32,336,24,0.05273269861936569,0.1607244908809662,14,7,0.03,147.43
2,0.0001,32,3,1,64,96,24,0.04620087146759033,0.14889752864837646,14,4,0.08,149.0
3,0.0001,32,3,1,64,336,24,0.03898193687200546,0.1372976005077362,16,8,0.1,149.9
4,0.0001,32,3,1,128,96,24,0.03852064907550812,0.13282263278961182,18,6,0.31,154.38
5,0.0001,32,3,1,128,336,24,0.03176441416144371,0.12439705431461334,12,6,0.35,155.46
6,0.0001,32,3,1,256,96,24,0.03273099660873413,0.12226312607526779,11,3,1.22,170.25
7,0.0001,32,3,1,256,336,24,0.027045177295804024,0.11493206769227982,12,6,1.28,171.68
8,0.0001,32,3,1,512,96,24,0.029335176572203636,0.11553141474723816,12,5,4.8,222.24
9,0.0001,32,3,1,512,336,24,0.024141117930412292,0.10919695347547531,11,5,4.92,224.38
10,0.0001,32,6,1,32,96,24,0.05042815953493118,0.15674500167369843,12,6,0.04,148.47
11,0.0001,32,6,1,32,336,24,0.04801304265856743,0.15407519042491913,14,10,0.05,149.29
12,0.0001,32,6,1,64,96,24,0.043399274349212646,0.1434328556060791,14,7,0.16,153.08
13,0.0001,32,6,1,64,336,24,0.03743975609540939,0.13577072322368622,17,12,0.17,153.99
14,0.0001,32,6,1,128,96,24,0.03632105886936188,0.12872128188610077,11,6,0.61,163.51
15,0.0001,32,6,1,128,336,24,0.030309980735182762,0.12164931744337082,13,9,0.64,164.59
16,0.0001,32,6,1,256,96,24,0.030229346826672554,0.11970043927431107,15,9,2.41,194.59
17,0.0001,32,6,1,256,336,24,0.025584815070033073,0.1134156808257103,19,13,2.47,196.02
18,0.0001,32,6,1,512,96,24,0.028669925406575203,0.11448155343532562,9,5,9.53,297.25
19,0.0001,32,6,1,512,336,24,0.023539504036307335,0.10806652903556824,12,8,9.65,299.38
20,0.0001,32,12,1,32,96,24,0.04959910362958908,0.15542036294937134,19,17,0.08,152.2
21,0.0001,32,12,1,32,336,24,0.046450160443782806,0.15227212011814117,15,16,0.09,153.02
22,0.0001,32,12,1,64,96,24,0.04177521541714668,0.14060458540916443,15,14,0.31,161.25
23,0.0001,32,12,1,64,336,24,0.03590301424264908,0.1337854415178299,12,13,0.33,162.16
24,0.0001,32,12,1,128,96,24,0.03472825512290001,0.12702463567256927,14,13,1.21,181.78
25,0.0001,32,12,1,128,336,24,0.029141802340745926,0.12025243043899536,13,14,1.24,182.86
26,0.0001,32,12,1,256,96,24,0.028960561379790306,0.1180470660328865,12,11,4.78,243.27
27,0.0001,32,12,1,256,336,24,0.02475709840655327,0.113465316593647,20,22,4.84,244.71
28,0.0001,32,12,1,512,96,24,0.028183842077851295,0.11482495814561844,8,8,19.0,451.31
29,0.0001,32,12,1,512,336,24,0.02283812128007412,0.10923721641302109,9,10,19.12,454.56
30,0.0005,32,3,1,32,96,24,0.04101555421948433,0.13902543485164642,13,4,0.02,146.61
31,0.0005,32,3,1,32,336,24,0.033863313496112823,0.12903879582881927,18,9,0.03,147.43
32,0.0005,32,3,1,64,96,24,0.034418702125549316,0.1260208636522293,12,4,0.08,149.0
33,0.0005,32,3,1,64,336,24,0.02758319303393364,0.11663971096277237,12,6,0.1,149.9
34,0.0005,32,3,1,128,96,24,0.02974950335919857,0.11695753782987595,13,5,0.31,154.38
35,0.0005,32,3,1,128,336,24,0.024890456348657608,0.1116618886590004,12,6,0.35,155.46
36,0.0005,32,3,1,256,96,24,0.02832021377980709,0.11286845803260803,12,4,1.22,170.25
37,0.0005,32,3,1,256,336,24,0.02340942621231079,0.10744808614253998,13,6,1.28,171.68
38,0.0005,32,3,1,512,96,24,0.028190890327095985,0.11093946546316147,12,4,4.8,222.24
39,0.0005,32,3,1,512,336,24,0.023866966366767883,0.10650236904621124,19,10,4.92,224.38
